Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www..lu.se,Main
http://www.isa.org,[129]
http://www.en.wikipedia.org/wiki/KTH_Royal_Institute_of_Technology,[75]
http://www.en.wiktionary.org,[4]
http://www.roundranking.com,[59]
http://www.developer.wikimedia.org,[55]
http://www.bbc.com,[71]
http://www.uu.se,[3]
http://www.ghostarchive.org,[29]
http://www.data.rero.ch,[86]
http://www.aop.se,[80]
http://www.d-nb.info,[41]
http://www.britannica.com,[121]
http://www.shanghairanking.com,[11]
http://www.biomus.lu.se,[102]
http://www.kth.se,[76]
http://www.en.wikipedia.org/wiki/KTH_Royal_Institute_of_Technology,[75]
http://www.diva-portal.org,[79]
http://www.foundation.wikimedia.org,[53]
