Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www..lu.se/,Main
http://www.kth.se/,[73]
http://www.gu.se/,[133]
http://www.isni.org/,[34]
http://www.data.nlg.gr/,[45]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.matarikinetwork.org/,[26]
http://www.books.google.com/,[75]
http://www.isa.org/,[124]
http://www.data.nlg.gr/,[45]
http://www.eshet.net/,[108]
http://www.viaf.org/,[35]
http://www.mbl.is/,[114]
http://www.wikidata.org/,[33]
http://www.doi.org/,[63]
http://www.student.uu.se/,[30]
http://www.uu.se/,[1]
http://www.ghostarchive.org/,[28]
http://www.proton-therapy.org/,[15]
http://www.axelsons.com/,[117]
http://www.uu.se/,[1]
http://www.sydsvenskan.se/,[129]
http://www.acton.org/,[109]
http://www.ki.se/,[56]
http://www.api.semanticscholar.org/,[68]
http://www.axelsons.com/,[117]
http://www.upsalafaktning.se/,[20]
http://www.doi.org/,[63]
http://www.webometrics.info/,[11]
http://www.geohack.toolforge.org/,[2]
http://www.creativecommons.org/,[51]
http://www.creativecommons.org/,[51]
http://www.webarchive.nationalarchives.gov.uk/,[123]
http://www.wikimediafoundation.org/,[53]
http://www.books.google.com/,[75]
http://www.biomus.lu.se/,[97]
http://www.opac.vatlib.it/,[47]
http://www.uu.se/,[1]
http://www.bbc.co.uk/,[71]
http://www.runeberg.org/,[126]
http://www.euroscholars.eu/,[101]
http://www.glamourmagazine.co.uk/,[130]
http://www.youtube.com/,[27]
