Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.acton.org/,Main
http://www.britannica.com/,[115]
http://www.en.wiktionary.org/,[3]
http://www.kth.se/,[73]
http://www.mbl.is/,[113]
http://www.isa.org/,[123]
http://www.blogs.sweden.se/,[94]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.viaf.org/,[35]
http://www.ghostarchive.org/,[28]
http://www.catalogue.bnf.fr/,[38]
http://www.usnews.com/,[25]
http://www.ghostarchive.org/,[28]
http://www.afuu.org/,[32]
http://www.roundranking.com/,[57]
http://www.roundranking.com/,[57]
http://www.afuu.org/,[32]
http://www.kth.se/,[73]
http://www.aop.se/,[77]
http://www.aleph.nkp.cz/,[43]
http://www.nla.gov.au/,[44]
