Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.afbostader.se/,Main
http://www.svt.se/,[67]
http://www.uu.se/,[1]
http://www.lunduniversity.lu.se/,[88]
http://www.afbostader.se/,[107]
http://www.uu.se/,[1]
http://www.fsas.uu.se/,[12]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.unt.se/,[16]
http://www.eshet.net/,[108]
http://www.scb.se/,[93]
http://www.ki.se/,[56]
http://www.sverigesradio.se/,[18]
http://www.geohack.toolforge.org/,[2]
http://www.arkitekturupproret.se/,[99]
http://www.webometrics.info/,[11]
http://www.ep.liu.se/,[111]
http://www.matarikinetwork.org/,[26]
http://www.gu.se/,[132]
http://www.kth.se/,[73]
http://www.cwur.org/,[21]
http://www.thestandard.com.hk/,[59]
http://www.dagensmedicin.se/,[70]
http://www.lunduniversity.lu.se/,[88]
http://www.dagensmedicin.se/,[70]
http://www.sfv.se/,[78]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.luis.lu.se/,[104]
http://www.timeshighereducation.com/,[24]
http://www.kth.se/,[73]
http://www.ehl.lu.se/,[100]
http://www.roundranking.com/,[57]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.roundranking.com/,[57]
http://www.webometrics.info/,[11]
http://www.svt.se/,[67]
