Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.afuu.org/,Main
http://www.the-guild.eu/,[9]
http://www.uu.se/,[1]
http://www.ghostarchive.org/,[28]
http://www.mediawiki.org/,[55]
http://www.trove.nla.gov.au/,[50]
http://www.mbl.is/,[113]
http://www.scmp.com/,[60]
http://www.data.rero.ch/,[83]
http://www.idref.fr/,[49]
http://www.uu.se/,[1]
http://www.wikidata.org/,[33]
http://www.commons.wikimedia.org/,[29]
http://www.viaf.org/,[35]
http://www.bbc.co.uk/,[71]
http://www.catalogo.bne.es/,[72]
http://www.angstrom.uu.se/,[6]
http://www.collections.tepapa.govt.nz/,[131]
http://www.eshet.net/,[108]
http://www.tekniskamuseet.se/,[74]
http://www.data.nlg.gr/,[45]
http://www.ch.lu.se/,[96]
http://www.opac.vatlib.it/,[47]
http://www.runeberg.org/,[125]
http://www.mbl.is/,[113]
http://www.ki.se/,[56]
http://www.developer.wikimedia.org/,[54]
http://www.jstor.org/,[124]
http://www.rudbeck.uu.se/,[4]
http://www.viaf.org/,[35]
http://www.musicbrainz.org/,[82]
http://www.edumaritime.net/,[89]
http://www.wikimediafoundation.org/,[53]
http://www.geo.uu.se/,[5]
http://www.creativecommons.org/,[51]
http://www.usnews.com/,[25]
http://www.sverigesradio.se/,[18]
http://www.jur.uu.se/,[13]
http://www.wikimediafoundation.org/,[53]
http://www.biomus.lu.se/,[97]
http://www.luis.lu.se/,[104]
http://www.webometrics.info/,[11]
http://www.kth.se/,[73]
http://www.axelsons.com/,[116]
http://www.doi.org/,[63]
http://www.kopkatalogs.lv/,[80]
http://www.data.bnf.fr/,[39]
http://www.dagensmedicin.se/,[70]
http://www.biomus.lu.se/,[97]
http://www.webometrics.info/,[11]
http://www.cwur.org/,[21]
http://www.cwur.org/,[21]
http://www.youtube.com/,[27]
http://www.data.nlg.gr/,[45]
http://www.ehl.lu.se/,[100]
http://www.tsl.uu.se/,[14]
http://www.thestandard.com.hk/,[59]
http://www.bbc.com/,[69]
http://www.ep.liu.se/,[111]
http://www.luis.lu.se/,[104]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.diva-portal.org/,[76]
http://www.manniskohjalp.se/,[112]
http://www.paked.net/,[31]
http://www.lu.se/,[87]
http://www.ki.se/,[56]
http://www.viaf.org/,[35]
http://www.youtube.com/,[27]
http://www.jur.uu.se/,[13]
http://www.idref.fr/,[49]
http://www.d-nb.info/,[40]
http://www.ki.se/,[56]
http://www.diva-portal.org/,[76]
http://www.webometrics.info/,[11]
http://www.sverigesradio.se/,[18]
http://www.genus.se/,[134]
http://www.kth.se/,[73]
http://www.mediawiki.org/,[55]
http://www.linnaeus.c18.net/,[114]
http://www.luis.lu.se/,[104]
http://www.catalogue.bnf.fr/,[38]
http://www.regeringen.se/,[106]
http://www.isni.org/,[34]
http://www.idref.fr/,[49]
http://www.dagensmedicin.se/,[70]
http://www.circ.ahajournals.org/,[119]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.circare.org/,[64]
http://www.ergo.nu/,[19]
http://www.retractionwatch.com/,[62]
http://www.trove.nla.gov.au/,[50]
http://www.ki.se/,[56]
http://www.angstrom.uu.se/,[6]
