Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.aleph.nkp.cz/,Main
http://www.the-guild.eu/,[9]
http://www.ki.se/,[56]
http://www.the-guild.eu/,[9]
http://www.cwur.org/,[21]
http://www.e.kth.se/,[79]
http://www.uli.nli.org.il/,[41]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.sfv.se/,[78]
http://www.ki.se/,[56]
http://www.aop.se/,[77]
http://www.upsalafaktning.se/,[20]
http://www.fsas.uu.se/,[12]
http://www.uu.se/,[1]
http://www.paked.net/,[31]
http://www.circ.ahajournals.org/,[119]
http://www.webometrics.info/,[11]
http://www.cantic.bnc.cat/,[130]
http://www.campusgotland.uu.se/,[7]
http://www.proton-therapy.org/,[15]
http://www.idref.fr/,[49]
http://www.thestandard.com.hk/,[59]
