Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.angstrom.uu.se/,Main
http://www.en.wiktionary.org/,[3]
http://www.foundation.wikimedia.org/,[52]
http://www.kth.se/,[73]
http://www.bbc.co.uk/,[71]
http://www.ghostarchive.org/,[28]
http://www.regeringen.se/,[106]
http://www.topuniversities.com/,[23]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.usnews.com/,[25]
http://www.unt.se/,[16]
http://www.journals.elsevier.com/,[86]
http://www.lu.se/,[87]
http://www.regeringen.se/,[106]
http://www.nytimes.com/,[61]
http://www.libris.kb.se/,[46]
http://www.lundagard.se/,[91]
http://www.archive.org/,[118]
http://www.the-guild.eu/,[9]
http://www.bbc.co.uk/,[71]
http://www.doi.org/,[63]
http://www.worldcat.org/,[36]
http://www.asbmb.org.au/,[120]
http://www.uu.se/,[1]
http://www.matarikinetwork.org/,[26]
http://www.kth.se/,[73]
http://www.europeanspallationsource.se/,[90]
http://www.thelocal.se/,[17]
http://www.regeringen.se/,[106]
http://www.getty.edu/,[48]
http://www.opac.vatlib.it/,[47]
http://www.aop.se/,[77]
http://www.id.loc.gov/,[42]
http://www.foundation.wikimedia.org/,[52]
http://www.wikimediafoundation.org/,[53]
http://www.uli.nli.org.il/,[41]
http://www.data.nlg.gr/,[45]
http://www.uu.se/,[1]
http://www.topuniversities.com/,[23]
http://www.cantic.bnc.cat/,[130]
http://www.foundation.wikimedia.org/,[52]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.afuu.org/,[32]
