Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.aop.se/,Main
http://www.ch.lu.se/,[96]
http://www.youtube.com/,[27]
http://www.ki.se/,[56]
http://www.circare.org/,[64]
http://www.musicbrainz.org/,[82]
http://www.kth.se/,[73]
http://www.bbc.co.uk/,[71]
http://www.journals.elsevier.com/,[86]
http://www.getty.edu/,[48]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.d-nb.info/,[40]
http://www.kopkatalogs.lv/,[80]
http://www.d-nb.info/,[40]
http://www.opac.vatlib.it/,[47]
http://www.trove.nla.gov.au/,[50]
http://www.lub.lu.se/,[98]
http://www.roundranking.com/,[57]
http://www.aleph.nkp.cz/,[43]
http://www.data.bnf.fr/,[39]
http://www.afuu.org/,[32]
http://www.circare.org/,[64]
http://www.matarikinetwork.org/,[26]
