Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.api.semanticscholar.org/,Main
http://www.jur.uu.se/,[13]
http://www.britannica.com/,[115]
http://www.universityworldnews.com/,[58]
http://www.svt.se/,[67]
http://www.commons.wikimedia.org/,[29]
http://www.mediawiki.org/,[55]
http://www.blogs.sweden.se/,[94]
http://www.kth.se/,[73]
http://www.viaf.org/,[35]
http://www.foundation.wikimedia.org/,[52]
http://www.mediawiki.org/,[55]
http://www.leidenranking.com/,[22]
http://www.mises.org/,[110]
http://www.cwur.org/,[21]
http://www.timeshighereducation.com/,[24]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.books.google.com/,[75]
http://www.wikidata.org/,[33]
http://www.api.semanticscholar.org/,[68]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.ehl.lu.se/,[100]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.wikidata.org/,[33]
http://www.foundation.wikimedia.org/,[52]
http://www.runeberg.org/,[125]
http://www.geohack.toolforge.org/,[2]
http://www.foundation.wikimedia.org/,[52]
http://www.aop.se/,[77]
http://www.slu.se/,[84]
http://www.uu.se/,[1]
http://www.commons.wikimedia.org/,[29]
http://www.europeanspallationsource.se/,[90]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.ghostarchive.org/,[28]
http://www.wolffund.org.il/,[121]
http://www.wolffund.org.il/,[121]
http://www.ch.lu.se/,[96]
http://www.developer.wikimedia.org/,[54]
http://www.ki.se/,[56]
http://www.d-nb.info/,[40]
http://www.uu.se/,[1]
http://www.ec.europa.eu/,[103]
