Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.archive.today/,Main
http://www.director.co.uk/,[127]
http://www.kth.se/,[73]
http://www.nla.gov.au/,[44]
http://www.geohack.toolforge.org/,[2]
http://www.paked.net/,[31]
http://www.regeringen.se/,[106]
http://www.webometrics.info/,[11]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.aleph.nkp.cz/,[43]
http://www.dagensmedicin.se/,[70]
http://www.thelocal.se/,[17]
http://www.upsalafaktning.se/,[20]
http://www.student.uu.se/,[30]
http://www.regeringen.se/,[106]
http://www.campusgotland.uu.se/,[7]
http://www.timeshighereducation.com/,[24]
http://www.viaf.org/,[35]
http://www.the-guild.eu/,[9]
http://www.mises.org/,[110]
http://www.ki.se/,[56]
http://www.the-guild.eu/,[9]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.ghostarchive.org/,[28]
http://www.angstrom.uu.se/,[6]
http://www.jstor.org/,[124]
http://www.cwur.org/,[21]
http://www.linnaeus.c18.net/,[114]
http://www.api.semanticscholar.org/,[68]
http://www.cwur.org/,[21]
http://www.data.nlg.gr/,[45]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.id.loc.gov/,[42]
http://www.d-nb.info/,[40]
http://www.angstrom.uu.se/,[6]
http://www.campusgotland.uu.se/,[7]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.catalogue.bnf.fr/,[38]
http://www.uu.se/,[1]
http://www.jur.uu.se/,[13]
http://www.bbc.com/,[69]
http://www.mediawiki.org/,[55]
http://www.collections.tepapa.govt.nz/,[131]
http://www.trove.nla.gov.au/,[50]
http://www.tekniskamuseet.se/,[74]
http://www.nytimes.com/,[61]
http://www.doi.org/,[63]
http://www.worldcat.org/,[36]
http://www.thelocal.se/,[17]
http://www.mediawiki.org/,[55]
http://www.ef.co.nz/,[126]
http://www.nla.gov.au/,[44]
http://www.data.rero.ch/,[83]
