Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.arkitekturupproret.se/,Main
http://www.fsas.uu.se/,[12]
http://www.the-guild.eu/,[9]
http://www.commons.wikimedia.org/,[29]
http://www.diva-portal.org/,[76]
http://www.developer.wikimedia.org/,[54]
http://www.sfv.se/,[78]
http://www.trove.nla.gov.au/,[50]
http://www.shanghairanking.com/,[10]
http://www.unt.se/,[16]
http://www.rudbeck.uu.se/,[4]
http://www.uu.se/,[1]
http://www.ftp.cordis.europa.eu/,[102]
http://www.matarikinetwork.org/,[26]
http://www.tsl.uu.se/,[14]
http://www.ch.lu.se/,[96]
http://www.en.wiktionary.org/,[3]
http://www.bbc.com/,[69]
http://www.data.nlg.gr/,[45]
http://www.libris.kb.se/,[46]
