Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.asbmb.org.au/,Main
http://www.webometrics.info/,[11]
http://www.developer.wikimedia.org/,[54]
http://www.circare.org/,[64]
http://www.britannica.com/,[115]
http://www.kth.se/,[73]
http://www.med.lu.se/,[95]
http://www.britannica.com/,[115]
http://www.sydsvenskan.se/,[128]
http://www.roundranking.com/,[57]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.paked.net/,[31]
http://www.developer.wikimedia.org/,[54]
http://www.eshet.net/,[108]
http://www.nytimes.com/,[61]
http://www.data.nlg.gr/,[45]
http://www.ki.se/,[56]
http://www.director.co.uk/,[127]
http://www.uu.se/,[1]
http://www.cantic.bnc.cat/,[130]
http://www.jur.uu.se/,[13]
http://www.en.wiktionary.org/,[3]
http://www.doi.org/,[63]
http://www.catalogo.bne.es/,[72]
http://www.lub.lu.se/,[98]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.runeberg.org/,[125]
http://www.lu.se/,[87]
http://www.uu.se/,[1]
http://www.commons.wikimedia.org/,[29]
http://www.kth.se/,[73]
http://www.manniskohjalp.se/,[112]
http://www.linnaeus.c18.net/,[114]
http://www.data.rero.ch/,[83]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.nla.gov.au/,[44]
http://www.tsl.uu.se/,[14]
http://www.matarikinetwork.org/,[26]
http://www.wolffund.org.il/,[121]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.europeanspallationsource.se/,[90]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.jur.uu.se/,[13]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.d-nb.info/,[40]
http://www.trove.nla.gov.au/,[50]
http://www.sverigesradio.se/,[18]
http://www.the-guild.eu/,[9]
http://www.gu.se/,[132]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
http://www.books.google.com/,[75]
http://www.kth.se/,[73]
http://www.api.semanticscholar.org/,[68]
http://www.bbc.com/,[69]
http://www.webometrics.info/,[11]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
