Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.authority.bibsys.no/,Main
http://www.shanghairanking.com/,[10]
http://www.books.google.com/,[75]
http://www.campusgotland.uu.se/,[7]
http://www.ftp.cordis.europa.eu/,[102]
http://www.ghostarchive.org/,[28]
http://www.europeanspallationsource.se/,[90]
http://www.viaf.org/,[35]
http://www.cwur.org/,[21]
http://www.afuu.org/,[32]
http://www.scb.se/,[93]
http://www.data.rero.ch/,[83]
http://www.fsas.uu.se/,[12]
http://www.acton.org/,[109]
http://www.isa.org/,[123]
http://www.sverigesradio.se/,[18]
http://www.mises.org/,[110]
http://www.shanghairanking.com/,[10]
http://www.jstor.org/,[124]
http://www.viaf.org/,[35]
http://www.mediawiki.org/,[55]
http://www.journals.elsevier.com/,[86]
http://www.cwur.org/,[21]
http://www.catalogue.bnf.fr/,[38]
http://www.cwur.org/,[21]
http://www.ghostarchive.org/,[28]
http://www.roundranking.com/,[57]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.topuniversities.com/,[23]
http://www.paked.net/,[31]
http://www.isni.org/,[34]
http://www.asbmb.org.au/,[120]
http://www.ehl.lu.se/,[100]
http://www.thestandard.com.hk/,[59]
http://www.tekniskamuseet.se/,[74]
http://www.ki.se/,[56]
http://www.bbc.co.uk/,[71]
http://www.diva-portal.org/,[76]
http://www.edumaritime.net/,[89]
http://www.ergo.nu/,[19]
http://www.getty.edu/,[48]
http://www.books.google.com/,[75]
http://www.lunduniversity.lu.se/,[88]
http://www.e.kth.se/,[79]
http://www.unt.se/,[16]
http://www.lunduniversity.lu.se/,[88]
http://www.sydsvenskan.se/,[128]
http://www.youtube.com/,[27]
http://www.svt.se/,[67]
http://www.edumaritime.net/,[89]
http://www.ghostarchive.org/,[28]
http://www.data.bnf.fr/,[39]
http://www.britannica.com/,[115]
http://www.foundation.wikimedia.org/,[52]
http://www.idref.fr/,[49]
http://www.ki.se/,[56]
http://www.isa.org/,[123]
http://www.lunduniversity.lu.se/,[88]
http://www.student.uu.se/,[30]
http://www.ep.liu.se/,[111]
http://www.campusgotland.uu.se/,[7]
http://www.catalogo.bne.es/,[72]
http://www.viaf.org/,[35]
http://www.rudbeck.uu.se/,[4]
http://www.acton.org/,[109]
http://www.id.loc.gov/,[42]
http://www.afbostader.se/,[107]
