Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.axelsons.com/,Main
http://www.viaf.org/,[35]
http://www.nytimes.com/,[61]
http://www.bbc.com/,[69]
http://www.ergo.nu/,[19]
http://www.cantic.bnc.cat/,[130]
http://www.upsalafaktning.se/,[20]
http://www.aop.se/,[77]
http://www.mbl.is/,[113]
http://www.britannica.com/,[115]
http://www.kth.se/,[73]
http://www.creativecommons.org/,[51]
http://www.timeshighereducation.com/,[24]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.afuu.org/,[32]
http://www.natgeotraveller.in/,[133]
http://www.runeberg.org/,[125]
http://www.mediawiki.org/,[55]
http://www.youtube.com/,[27]
http://www.the-guild.eu/,[9]
http://www.cantic.bnc.cat/,[130]
http://www.kth.se/,[73]
http://www.archive.org/,[118]
http://www.creativecommons.org/,[51]
http://www.developer.wikimedia.org/,[54]
http://www.matarikinetwork.org/,[26]
http://www.geohack.toolforge.org/,[2]
http://www.archive.org/,[118]
http://www.uu.se/,[1]
