Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.bbc.co.uk/,Main
http://www.tsl.uu.se/,[14]
http://www.web.archive.org/,[8]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.upsalafaktning.se/,[20]
http://www.afuu.org/,[32]
http://www.ec.europa.eu/,[103]
http://www.upsalafaktning.se/,[20]
http://www.nytimes.com/,[61]
http://www.ci.nii.ac.jp/,[81]
http://www.web.archive.org/,[8]
http://www.ftp.cordis.europa.eu/,[102]
http://www.jstor.org/,[124]
http://www.jur.uu.se/,[13]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.getty.edu/,[48]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.genus.se/,[134]
http://www.kth.se/,[73]
http://www.wikimediafoundation.org/,[53]
http://www.lub.lu.se/,[98]
http://www.shanghairanking.com/,[10]
