Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.bbc.com/,Main
http://www.topuniversities.com/,[23]
http://www.biomus.lu.se/,[97]
http://www.isni.org/,[34]
http://www.student.uu.se/,[30]
http://www.acton.org/,[109]
http://www.thelocal.se/,[17]
http://www.scb.se/,[93]
http://www.topuniversities.com/,[23]
http://www.worldcat.org/,[36]
http://www.paked.net/,[31]
http://www.geohack.toolforge.org/,[2]
http://www.wolffund.org.il/,[121]
http://www.geo.uu.se/,[5]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.d-nb.info/,[40]
http://www.runeberg.org/,[125]
http://www.lu.se/,[87]
http://www.catalogue.bnf.fr/,[38]
http://www.uli.nli.org.il/,[41]
http://www.ki.se/,[56]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.retractionwatch.com/,[62]
http://www.creativecommons.org/,[51]
http://www.campusgotland.uu.se/,[7]
http://www.runeberg.org/,[125]
http://www.ki.se/,[56]
http://www.wikimediafoundation.org/,[53]
http://www.biomus.lu.se/,[97]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.journals.elsevier.com/,[86]
http://www.sverigesradio.se/,[18]
http://www.aop.se/,[77]
http://www.ftp.cordis.europa.eu/,[102]
http://www.ki.se/,[56]
http://www.books.google.com/,[75]
http://www.manniskohjalp.se/,[112]
http://www.ftp.cordis.europa.eu/,[102]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.unt.se/,[16]
http://www.commons.wikimedia.org/,[29]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.usnews.com/,[25]
http://www.wikidata.org/,[33]
