Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.biomus.lu.se/,Main
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.books.google.com/,[75]
http://www.mediawiki.org/,[55]
http://www.catalogo.bne.es/,[72]
http://www.aleph.nkp.cz/,[43]
http://www.shanghairanking.com/,[10]
http://www.edumaritime.net/,[89]
http://www.shanghairanking.com/,[10]
http://www.worldcat.org/,[36]
http://www.kth.se/,[73]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.regeringen.se/,[106]
http://www.cwur.org/,[21]
http://www.paked.net/,[31]
http://www.uu.se/,[1]
http://www.eshet.net/,[108]
http://www.jur.uu.se/,[13]
http://www.tsl.uu.se/,[14]
http://www.arkitekturupproret.se/,[99]
http://www.europeanspallationsource.se/,[90]
http://www.data.nlg.gr/,[45]
http://www.tekniskamuseet.se/,[74]
http://www.manniskohjalp.se/,[112]
http://www.uu.se/,[1]
http://www.afuu.org/,[32]
http://www.bbc.co.uk/,[71]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.linnaeus.c18.net/,[114]
http://www.sverigesradio.se/,[18]
http://www.journals.elsevier.com/,[86]
http://www.thelocal.se/,[17]
http://www.angstrom.uu.se/,[6]
http://www.unt.se/,[16]
http://www.ch.lu.se/,[96]
http://www.fsas.uu.se/,[12]
http://www.matarikinetwork.org/,[26]
