Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.blogs.sweden.se/,Main
http://www.topuniversities.com/,[23]
http://www.web.archive.org/,[8]
http://www.eshet.net/,[108]
http://www.sfv.se/,[78]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.bbc.com/,[69]
http://www.creativecommons.org/,[51]
http://www.kth.se/,[73]
http://www.circare.org/,[64]
http://www.uli.nli.org.il/,[41]
http://www.ki.se/,[56]
http://www.doi.org/,[63]
http://www.wolffund.org.il/,[121]
http://www.jur.uu.se/,[13]
http://www.jur.uu.se/,[13]
http://www.ki.se/,[56]
http://www.retractionwatch.com/,[62]
http://www.sfv.se/,[78]
http://www.rudbeck.uu.se/,[4]
http://www.aleph.nkp.cz/,[43]
http://www.britannica.com/,[115]
http://www.ki.se/,[56]
http://www.id.loc.gov/,[42]
http://www.circare.org/,[64]
