Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.books.google.com/,Main
http://www.web.archive.org/,[8]
http://www.opac.vatlib.it/,[47]
http://www.aleph.nkp.cz/,[43]
http://www.geo.uu.se/,[5]
http://www.foundation.wikimedia.org/,[52]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.tsl.uu.se/,[14]
http://www.afuu.org/,[32]
http://www.aop.se/,[77]
http://www.proton-therapy.org/,[15]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.ki.se/,[56]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.gu.se/,[132]
http://www.internt.slu.se/,[85]
http://www.paked.net/,[31]
http://www.id.loc.gov/,[42]
http://www.worldcat.org/,[36]
http://www.catalogo.bne.es/,[72]
http://www.tekniskamuseet.se/,[74]
http://www.uu.se/,[1]
http://www.lunduniversity.lu.se/,[88]
http://www.luis.lu.se/,[104]
http://www.internt.slu.se/,[85]
http://www.web.archive.org/,[8]
http://www.catalogue.bnf.fr/,[38]
http://www.uu.se/,[1]
http://www.bbc.co.uk/,[71]
http://www.data.bnf.fr/,[39]
http://www.en.wiktionary.org/,[3]
http://www.trove.nla.gov.au/,[50]
http://www.angstrom.uu.se/,[6]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.circare.org/,[64]
http://www.jur.uu.se/,[13]
http://www.wikimediafoundation.org/,[53]
http://www.kth.se/,[73]
http://www.isni.org/,[34]
http://www.webometrics.info/,[11]
http://www.data.bnf.fr/,[39]
http://www.lub.lu.se/,[98]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.matarikinetwork.org/,[26]
http://www.youtube.com/,[27]
http://www.mediawiki.org/,[55]
http://www.ghostarchive.org/,[28]
http://www.uu.se/,[1]
http://www.lub.lu.se/,[98]
http://www.kth.se/,[73]
http://www.unt.se/,[16]
http://www.kth.se/,[73]
http://www.rudbeck.uu.se/,[4]
http://www.developer.wikimedia.org/,[54]
http://www.cantic.bnc.cat/,[130]
http://www.natgeotraveller.in/,[133]
http://www.ef.co.nz/,[126]
http://www.paked.net/,[31]
http://www.wikimediafoundation.org/,[53]
http://www.isa.org/,[123]
http://www.rudbeck.uu.se/,[4]
http://www.ghostarchive.org/,[28]
http://www.web.archive.org/,[8]
http://www.geohack.toolforge.org/,[2]
http://www.cwur.org/,[21]
http://www.youtube.com/,[27]
http://www.jur.uu.se/,[13]
http://www.matarikinetwork.org/,[26]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.angstrom.uu.se/,[6]
http://www.kth.se/,[73]
http://www.libris.kb.se/,[46]
http://www.wikimediafoundation.org/,[53]
