Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.britannica.com/,Main
http://www.natgeotraveller.in/,[133]
http://www.uu.se/,[1]
http://www.diva-portal.org/,[76]
http://www.topuniversities.com/,[23]
http://www.d-nb.info/,[40]
http://www.retractionwatch.com/,[62]
http://www.topuniversities.com/,[23]
http://www.collections.tepapa.govt.nz/,[131]
http://www.timeshighereducation.com/,[24]
http://www.worldcat.org/,[36]
http://www.viaf.org/,[35]
http://www.the-guild.eu/,[9]
http://www.kth.se/,[73]
http://www.getty.edu/,[48]
http://www.jstor.org/,[124]
http://www.api.semanticscholar.org/,[68]
http://www.timeshighereducation.com/,[24]
http://www.ehl.lu.se/,[100]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.med.lu.se/,[95]
http://www.usnews.com/,[25]
http://www.gu.se/,[132]
http://www.uu.se/,[1]
http://www.idref.fr/,[49]
http://www.ftp.cordis.europa.eu/,[102]
http://www.journals.elsevier.com/,[86]
http://www.aleph.nkp.cz/,[43]
http://www.mbl.is/,[113]
http://www.books.google.com/,[75]
http://www.wikimediafoundation.org/,[53]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.thelocal.se/,[17]
http://www.wikimediafoundation.org/,[53]
http://www.webometrics.info/,[11]
http://www.blogs.sweden.se/,[94]
http://www.uu.se/,[1]
http://www.proton-therapy.org/,[15]
http://www.worldcat.org/,[36]
http://www.developer.wikimedia.org/,[54]
http://www.lundagard.se/,[91]
http://www.upsalafaktning.se/,[20]
http://www.euroscholars.eu/,[101]
http://www.foundation.wikimedia.org/,[52]
http://www.worldcat.org/,[36]
http://www.d-nb.info/,[40]
http://www.ergo.nu/,[19]
http://www.webometrics.info/,[11]
http://www.campusgotland.uu.se/,[7]
http://www.aleph.nkp.cz/,[43]
http://www.fsas.uu.se/,[12]
http://www.worldcat.org/,[36]
http://www.upsalafaktning.se/,[20]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.authority.bibsys.no/,[37]
http://www.universityworldnews.com/,[58]
http://www.ftp.cordis.europa.eu/,[102]
http://www.developer.wikimedia.org/,[54]
http://www.commons.wikimedia.org/,[29]
http://www.ec.europa.eu/,[103]
http://www.runeberg.org/,[125]
http://www.fsas.uu.se/,[12]
http://www.catalogo.bne.es/,[72]
http://www.matarikinetwork.org/,[26]
http://www.ki.se/,[56]
