Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.campusgotland.uu.se/,Main
http://www.paked.net/,[31]
http://www.cwur.org/,[21]
http://www.retractionwatch.com/,[62]
http://www.wikidata.org/,[33]
http://www.cwur.org/,[21]
http://www.kth.se/,[73]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.ki.se/,[56]
http://www.catalogue.bnf.fr/,[38]
http://www.mbl.is/,[113]
http://www.wikimediafoundation.org/,[53]
http://www.jur.uu.se/,[13]
http://www.universityworldnews.com/,[58]
http://www.thestandard.com.hk/,[59]
http://www.kth.se/,[73]
http://www.ergo.nu/,[19]
http://www.retractionwatch.com/,[62]
http://www.sverigesradio.se/,[18]
http://www.thelocal.se/,[17]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.ch.lu.se/,[96]
http://www.archive.today/,[105]
http://www.uu.se/,[1]
http://www.geo.uu.se/,[5]
http://www.ep.liu.se/,[111]
http://www.acton.org/,[109]
http://www.lub.lu.se/,[98]
http://www.youtube.com/,[27]
http://www.commons.wikimedia.org/,[29]
http://www.proton-therapy.org/,[15]
http://www.universityworldnews.com/,[58]
http://www.bbc.co.uk/,[71]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.student.uu.se/,[30]
http://www.roundranking.com/,[57]
http://www.edumaritime.net/,[89]
http://www.data.bnf.fr/,[39]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.tsl.uu.se/,[14]
http://www.ki.se/,[56]
http://www.ep.liu.se/,[111]
http://www.jur.uu.se/,[13]
http://www.roundranking.com/,[57]
http://www.kth.se/,[73]
http://www.worldcat.org/,[36]
http://www.genus.se/,[134]
http://www.archive.today/,[105]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.afuu.org/,[32]
http://www.geo.uu.se/,[5]
http://www.circ.ahajournals.org/,[119]
http://www.afuu.org/,[32]
http://www.rudbeck.uu.se/,[4]
http://www.timeshighereducation.com/,[24]
http://www.getty.edu/,[48]
http://www.ergo.nu/,[19]
http://www.nytimes.com/,[61]
http://www.campusgotland.uu.se/,[7]
http://www.angstrom.uu.se/,[6]
http://www.books.google.com/,[75]
http://www.biomus.lu.se/,[97]
http://www.kth.se/,[73]
http://www.slu.se/,[84]
http://www.universityworldnews.com/,[58]
http://www.getty.edu/,[48]
http://www.libris.kb.se/,[46]
http://www.natgeotraveller.in/,[133]
http://www.lunduniversity.lu.se/,[88]
http://www.unt.se/,[16]
http://www.commons.wikimedia.org/,[29]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.uu.se/,[1]
http://www.getty.edu/,[48]
http://www.webometrics.info/,[11]
http://www.roundranking.com/,[57]
http://www.sydsvenskan.se/,[128]
http://www.euroscholars.eu/,[101]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.matarikinetwork.org/,[26]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.idref.fr/,[49]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.mediawiki.org/,[55]
http://www.getty.edu/,[48]
http://www.wikidata.org/,[33]
http://www.sfv.se/,[78]
