Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.catalogo.bne.es/,Main
http://www.roundranking.com/,[57]
http://www.opac.vatlib.it/,[47]
http://www.gu.se/,[132]
http://www.europeanspallationsource.se/,[90]
http://www.uu.se/,[1]
http://www.developer.wikimedia.org/,[54]
http://www.ef.co.nz/,[126]
http://www.idref.fr/,[49]
http://www.commons.wikimedia.org/,[29]
http://www.blogs.sweden.se/,[94]
http://www.the-guild.eu/,[9]
http://www.sydsvenskan.se/,[128]
http://www.proton-therapy.org/,[15]
http://www.d-nb.info/,[40]
http://www.web.archive.org/,[8]
http://www.student.uu.se/,[30]
http://www.d-nb.info/,[40]
http://www.retractionwatch.com/,[62]
http://www.d-nb.info/,[40]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.usnews.com/,[25]
http://www.ef.co.nz/,[126]
http://www.uu.se/,[1]
http://www.geo.uu.se/,[5]
http://www.getty.edu/,[48]
http://www.d-nb.info/,[40]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.euroscholars.eu/,[101]
http://www.scmp.com/,[60]
http://www.mediawiki.org/,[55]
http://www.worldcat.org/,[36]
http://www.jstor.org/,[124]
http://www.bbc.co.uk/,[71]
http://www.proton-therapy.org/,[15]
http://www.bbc.com/,[69]
http://www.tsl.uu.se/,[14]
http://www.uli.nli.org.il/,[41]
