Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ch.lu.se/,Main
http://www.wikidata.org/,[33]
http://www.ki.se/,[56]
http://www.catalogue.bnf.fr/,[38]
http://www.rudbeck.uu.se/,[4]
http://www.scb.se/,[93]
http://www.idref.fr/,[49]
http://www.opac.vatlib.it/,[47]
http://www.angstrom.uu.se/,[6]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.opac.vatlib.it/,[47]
http://www.books.google.com/,[75]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.ehl.lu.se/,[100]
http://www.kth.se/,[73]
http://www.topuniversities.com/,[23]
http://www.foundation.wikimedia.org/,[52]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.viaf.org/,[35]
http://www.bbc.co.uk/,[71]
http://www.afuu.org/,[32]
http://www.developer.wikimedia.org/,[54]
http://www.retractionwatch.com/,[62]
http://www.trove.nla.gov.au/,[50]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.ki.se/,[56]
http://www.campusgotland.uu.se/,[7]
http://www.idref.fr/,[49]
http://www.linnaeus.c18.net/,[114]
http://www.usnews.com/,[25]
http://www.journals.elsevier.com/,[86]
http://www.tekniskamuseet.se/,[74]
http://www.retractionwatch.com/,[62]
http://www.ergo.nu/,[19]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.thelocal.se/,[17]
http://www.catalogo.bne.es/,[72]
http://www.sfv.se/,[78]
http://www.libris.kb.se/,[46]
http://www.api.semanticscholar.org/,[68]
http://www.student.uu.se/,[30]
http://www.catalogo.bne.es/,[72]
http://www.scmp.com/,[60]
http://www.e.kth.se/,[79]
http://www.uli.nli.org.il/,[41]
http://www.ghostarchive.org/,[28]
http://www.kth.se/,[73]
http://www.svt.se/,[67]
http://www.fsas.uu.se/,[12]
http://www.uu.se/,[1]
http://www.universityworldnews.com/,[58]
http://www.luis.lu.se/,[104]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.matarikinetwork.org/,[26]
http://www.cwur.org/,[21]
http://www.scmp.com/,[60]
http://www.getty.edu/,[48]
http://www.foundation.wikimedia.org/,[52]
http://www.nla.gov.au/,[44]
http://www.europeanspallationsource.se/,[90]
http://www.en.wiktionary.org/,[3]
http://www.uli.nli.org.il/,[41]
http://www.ki.se/,[56]
http://www.api.semanticscholar.org/,[68]
http://www.thelocal.se/,[17]
http://www.proton-therapy.org/,[15]
http://www.circ.ahajournals.org/,[119]
http://www.wikidata.org/,[33]
http://www.kth.se/,[73]
http://www.paked.net/,[31]
