Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.chiropractorswarwick.co.uk/,Main
http://www.uu.se/,[1]
http://www.tekniskamuseet.se/,[74]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.circare.org/,[64]
http://www.archive.org/,[118]
http://www.jstor.org/,[124]
http://www.slu.se/,[84]
http://www.collections.tepapa.govt.nz/,[131]
http://www.opac.vatlib.it/,[47]
http://www.geohack.toolforge.org/,[2]
http://www.ergo.nu/,[19]
http://www.developer.wikimedia.org/,[54]
http://www.viaf.org/,[35]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.eshet.net/,[108]
http://www.viaf.org/,[35]
http://www.timeshighereducation.com/,[24]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.lu.se/,[87]
http://www.nla.gov.au/,[44]
http://www.natgeotraveller.in/,[133]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.circare.org/,[64]
http://www.circare.org/,[64]
http://www.uu.se/,[1]
http://www.scmp.com/,[60]
http://www.catalogo.bne.es/,[72]
http://www.libris.kb.se/,[46]
http://www.shanghairanking.com/,[10]
http://www.nytimes.com/,[61]
http://www.scmp.com/,[60]
http://www.foundation.wikimedia.org/,[52]
http://www.wolffund.org.il/,[121]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.britannica.com/,[115]
http://www.campusgotland.uu.se/,[7]
http://www.asbmb.org.au/,[120]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.archive.today/,[105]
http://www.ci.nii.ac.jp/,[81]
http://www.ftp.cordis.europa.eu/,[102]
http://www.luis.lu.se/,[104]
http://www.opac.vatlib.it/,[47]
http://www.e.kth.se/,[79]
http://www.bbc.co.uk/,[71]
http://www.uu.se/,[1]
http://www.usnews.com/,[25]
http://www.upsalafaktning.se/,[20]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.ec.europa.eu/,[103]
http://www.mbl.is/,[113]
http://www.topuniversities.com/,[23]
http://www.manniskohjalp.se/,[112]
http://www.fsas.uu.se/,[12]
http://www.aop.se/,[77]
http://www.student.uu.se/,[30]
http://www.libris.kb.se/,[46]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.med.lu.se/,[95]
http://www.cwur.org/,[21]
http://www.getty.edu/,[48]
http://www.roundranking.com/,[57]
http://www.catalogo.bne.es/,[72]
http://www.books.google.com/,[75]
http://www.circare.org/,[64]
http://www.universityworldnews.com/,[58]
http://www.biomus.lu.se/,[97]
http://www.asbmb.org.au/,[120]
http://www.uu.se/,[1]
http://www.viaf.org/,[35]
http://www.lundagard.se/,[91]
http://www.ergo.nu/,[19]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.fsas.uu.se/,[12]
http://www.leidenranking.com/,[22]
http://www.retractionwatch.com/,[62]
http://www.scb.se/,[93]
http://www.data.nlg.gr/,[45]
http://www.developer.wikimedia.org/,[54]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.id.loc.gov/,[42]
http://www.circ.ahajournals.org/,[119]
