Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ci.nii.ac.jp/,Main
http://www.scmp.com/,[60]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.roundranking.com/,[57]
http://www.developer.wikimedia.org/,[54]
http://www.isa.org/,[123]
http://www.idref.fr/,[49]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.web.archive.org/,[8]
http://www.linnaeus.c18.net/,[114]
http://www.blogs.sweden.se/,[94]
http://www.asbmb.org.au/,[120]
http://www.student.uu.se/,[30]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.usnews.com/,[25]
http://www.topuniversities.com/,[23]
http://www.unt.se/,[16]
http://www.scb.se/,[93]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.youtube.com/,[27]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.lunduniversity.lu.se/,[88]
http://www.collections.tepapa.govt.nz/,[131]
http://www.angstrom.uu.se/,[6]
http://www.cantic.bnc.cat/,[130]
http://www.natgeotraveller.in/,[133]
http://www.shanghairanking.com/,[10]
http://www.kth.se/,[73]
http://www.leidenranking.com/,[22]
http://www.dagensmedicin.se/,[70]
http://www.lunduniversity.lu.se/,[88]
http://www.wikidata.org/,[33]
http://www.bbc.com/,[69]
http://www.edumaritime.net/,[89]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.angstrom.uu.se/,[6]
http://www.viaf.org/,[35]
http://www.arkitekturupproret.se/,[99]
http://www.europeanspallationsource.se/,[90]
http://www.axelsons.com/,[116]
http://www.scb.se/,[93]
http://www.ergo.nu/,[19]
