Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.circ.ahajournals.org/,Main
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.kth.se/,[73]
http://www.unt.se/,[16]
http://www.nytimes.com/,[61]
http://www.natgeotraveller.in/,[133]
http://www.web.archive.org/,[8]
http://www.aleph.nkp.cz/,[43]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.tsl.uu.se/,[14]
http://www.catalogue.bnf.fr/,[38]
http://www.topuniversities.com/,[23]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.regeringen.se/,[106]
http://www.the-guild.eu/,[9]
http://www.sverigesradio.se/,[18]
http://www.creativecommons.org/,[51]
http://www.rudbeck.uu.se/,[4]
http://www.viaf.org/,[35]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.unt.se/,[16]
