Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.circare.org/,Main
http://www.natgeotraveller.in/,[133]
http://www.ef.co.nz/,[126]
http://www.jur.uu.se/,[13]
http://www.fsas.uu.se/,[12]
http://www.wikidata.org/,[33]
http://www.svt.se/,[67]
http://www.jur.uu.se/,[13]
http://www.catalogue.bnf.fr/,[38]
http://www.shanghairanking.com/,[10]
http://www.web.archive.org/,[8]
http://www.director.co.uk/,[127]
http://www.commons.wikimedia.org/,[29]
http://www.unt.se/,[16]
http://www.libris.kb.se/,[46]
http://www.geo.uu.se/,[5]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.youtube.com/,[27]
http://www.youtube.com/,[27]
http://www.data.nlg.gr/,[45]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.libris.kb.se/,[46]
http://www.sydsvenskan.se/,[128]
http://www.slu.se/,[84]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.collections.tepapa.govt.nz/,[131]
http://www.regeringen.se/,[106]
http://www.geohack.toolforge.org/,[2]
http://www.lundagard.se/,[91]
http://www.ec.europa.eu/,[103]
http://www.dagensmedicin.se/,[70]
http://www.catalogo.bne.es/,[72]
http://www.getty.edu/,[48]
http://www.topuniversities.com/,[23]
http://www.musicbrainz.org/,[82]
http://www.slu.se/,[84]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.doi.org/,[63]
http://www.kth.se/,[73]
http://www.jur.uu.se/,[13]
http://www.developer.wikimedia.org/,[54]
http://www.timeshighereducation.com/,[24]
http://www.thestandard.com.hk/,[59]
http://www.roundranking.com/,[57]
http://www.ki.se/,[56]
http://www.sfv.se/,[78]
http://www.d-nb.info/,[40]
http://www.matarikinetwork.org/,[26]
http://www.catalogue.bnf.fr/,[38]
http://www.uu.se/,[1]
http://www.wikidata.org/,[33]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.foundation.wikimedia.org/,[52]
http://www.ki.se/,[56]
http://www.viaf.org/,[35]
http://www.tsl.uu.se/,[14]
http://www.universityworldnews.com/,[58]
http://www.blogs.sweden.se/,[94]
http://www.linnaeus.c18.net/,[114]
http://www.authority.bibsys.no/,[37]
http://www.the-guild.eu/,[9]
http://www.ep.liu.se/,[111]
http://www.eshet.net/,[108]
http://www.fsas.uu.se/,[12]
http://www.archive.today/,[105]
http://www.the-guild.eu/,[9]
http://www.sverigesradio.se/,[18]
http://www.jstor.org/,[124]
http://www.libris.kb.se/,[46]
http://www.geo.uu.se/,[5]
http://www.shanghairanking.com/,[10]
http://www.bbc.com/,[69]
http://www.matarikinetwork.org/,[26]
http://www.wolffund.org.il/,[121]
