Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.collections.tepapa.govt.nz/,Main
http://www.wikidata.org/,[33]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.web.archive.org/,[8]
http://www.leidenranking.com/,[22]
http://www.sverigesradio.se/,[18]
http://www.foundation.wikimedia.org/,[52]
http://www.creativecommons.org/,[51]
http://www.aleph.nkp.cz/,[43]
http://www.dagensmedicin.se/,[70]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.dagensmedicin.se/,[70]
http://www.svt.se/,[67]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.regeringen.se/,[106]
http://www.ergo.nu/,[19]
http://www.euroscholars.eu/,[101]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.trove.nla.gov.au/,[50]
http://www.aleph.nkp.cz/,[43]
http://www.uli.nli.org.il/,[41]
http://www.trove.nla.gov.au/,[50]
http://www.regeringen.se/,[106]
http://www.dagensmedicin.se/,[70]
http://www.isa.org/,[123]
http://www.ef.co.nz/,[126]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.diva-portal.org/,[76]
http://www.ehl.lu.se/,[100]
http://www.gu.se/,[132]
