Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.commons.wikimedia.org/,Main
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.nla.gov.au/,[44]
http://www.worldcat.org/,[36]
http://www.asbmb.org.au/,[120]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.cwur.org/,[21]
http://www.sfv.se/,[78]
http://www.usnews.com/,[25]
http://www.luis.lu.se/,[104]
http://www.rudbeck.uu.se/,[4]
http://www.commons.wikimedia.org/,[29]
http://www.uli.nli.org.il/,[41]
http://www.jur.uu.se/,[13]
http://www.opac.vatlib.it/,[47]
http://www.data.nlg.gr/,[45]
http://www.isni.org/,[34]
http://www.uu.se/,[1]
http://www.nytimes.com/,[61]
http://www.kopkatalogs.lv/,[80]
http://www.jstor.org/,[124]
http://www.trove.nla.gov.au/,[50]
http://www.lu.se/,[87]
http://www.worldcat.org/,[36]
http://www.student.uu.se/,[30]
http://www.ki.se/,[56]
http://www.doi.org/,[63]
http://www.slu.se/,[84]
http://www.creativecommons.org/,[51]
http://www.the-guild.eu/,[9]
http://www.gu.se/,[132]
http://www.nytimes.com/,[61]
http://www.creativecommons.org/,[51]
http://www.ch.lu.se/,[96]
http://www.wikimediafoundation.org/,[53]
http://www.worldcat.org/,[36]
http://www.journals.elsevier.com/,[86]
http://www.mediawiki.org/,[55]
http://www.foundation.wikimedia.org/,[52]
http://www.idref.fr/,[49]
http://www.circ.ahajournals.org/,[119]
http://www.shanghairanking.com/,[10]
http://www.data.bnf.fr/,[39]
http://www.svt.se/,[67]
http://www.manniskohjalp.se/,[112]
http://www.bbc.co.uk/,[71]
http://www.data.nlg.gr/,[45]
http://www.viaf.org/,[35]
http://www.uu.se/,[1]
http://www.acton.org/,[109]
