Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.cwur.org/,Main
http://www.unt.se/,[16]
http://www.campusgotland.uu.se/,[7]
http://www.kth.se/,[73]
http://www.topuniversities.com/,[23]
http://www.kth.se/,[73]
http://www.youtube.com/,[27]
http://www.ghostarchive.org/,[28]
http://www.rudbeck.uu.se/,[4]
http://www.proton-therapy.org/,[15]
http://www.europeanspallationsource.se/,[90]
http://www.universityworldnews.com/,[58]
http://www.ep.liu.se/,[111]
http://www.angstrom.uu.se/,[6]
http://www.tsl.uu.se/,[14]
http://www.data.rero.ch/,[83]
http://www.svt.se/,[67]
http://www.uu.se/,[1]
http://www.geo.uu.se/,[5]
http://www.scb.se/,[93]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.cantic.bnc.cat/,[130]
http://www.retractionwatch.com/,[62]
http://www.cwur.org/,[21]
http://www.wolffund.org.il/,[121]
http://www.unt.se/,[16]
http://www.isa.org/,[123]
http://www.web.archive.org/,[8]
http://www.angstrom.uu.se/,[6]
http://www.idref.fr/,[49]
http://www.kth.se/,[73]
http://www.creativecommons.org/,[51]
http://www.director.co.uk/,[127]
http://www.sfv.se/,[78]
http://www.uu.se/,[1]
http://www.circ.ahajournals.org/,[119]
http://www.uli.nli.org.il/,[41]
http://www.diva-portal.org/,[76]
http://www.topuniversities.com/,[23]
http://www.kth.se/,[73]
http://www.nla.gov.au/,[44]
http://www.universityworldnews.com/,[58]
http://www.geohack.toolforge.org/,[2]
http://www.afuu.org/,[32]
http://www.afuu.org/,[32]
http://www.genus.se/,[134]
http://www.catalogo.bne.es/,[72]
http://www.aleph.nkp.cz/,[43]
http://www.geo.uu.se/,[5]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.ec.europa.eu/,[103]
http://www.ki.se/,[56]
http://www.trove.nla.gov.au/,[50]
http://www.fsas.uu.se/,[12]
http://www.thelocal.se/,[17]
http://www.luis.lu.se/,[104]
http://www.retractionwatch.com/,[62]
http://www.ki.se/,[56]
http://www.student.uu.se/,[30]
http://www.idref.fr/,[49]
http://www.uli.nli.org.il/,[41]
http://www.mbl.is/,[113]
http://www.wolffund.org.il/,[121]
http://www.acton.org/,[109]
http://www.uu.se/,[1]
http://www.trove.nla.gov.au/,[50]
http://www.timeshighereducation.com/,[24]
http://www.lu.se/,[87]
