Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.d-nb.info/,Main
http://www.eshet.net/,[108]
http://www.data.bnf.fr/,[39]
http://www.kth.se/,[73]
http://www.data.nlg.gr/,[45]
http://www.aleph.nkp.cz/,[43]
http://www.biomus.lu.se/,[97]
http://www.circare.org/,[64]
http://www.ki.se/,[56]
http://www.ghostarchive.org/,[28]
http://www.roundranking.com/,[57]
http://www.books.google.com/,[75]
http://www.viaf.org/,[35]
http://www.commons.wikimedia.org/,[29]
http://www.aleph.nkp.cz/,[43]
http://www.ui.adsabs.harvard.edu/,[65]
