Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.dagensmedicin.se/,Main
http://www.journals.elsevier.com/,[86]
http://www.lunduniversity.lu.se/,[88]
http://www.britannica.com/,[115]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.topuniversities.com/,[23]
http://www.bbc.com/,[69]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.fsas.uu.se/,[12]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.uli.nli.org.il/,[41]
http://www.roundranking.com/,[57]
http://www.rudbeck.uu.se/,[4]
http://www.kth.se/,[73]
http://www.e.kth.se/,[79]
http://www.idref.fr/,[49]
http://www.aop.se/,[77]
http://www.uu.se/,[1]
http://www.svt.se/,[67]
http://www.angstrom.uu.se/,[6]
http://www.authority.bibsys.no/,[37]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.ehl.lu.se/,[100]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.shanghairanking.com/,[10]
