Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.data.bnf.fr/,Main
http://www.aleph.nkp.cz/,[43]
http://www.scmp.com/,[60]
http://www.archive.today/,[105]
http://www.topuniversities.com/,[23]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
http://www.angstrom.uu.se/,[6]
http://www.nla.gov.au/,[44]
http://www.aop.se/,[77]
http://www.linnaeus.c18.net/,[114]
http://www.en.wiktionary.org/,[3]
http://www.afuu.org/,[32]
http://www.journals.elsevier.com/,[86]
http://www.lu.se/,[87]
http://www.catalogue.bnf.fr/,[38]
http://www.asbmb.org.au/,[120]
http://www.slu.se/,[84]
http://www.mbl.is/,[113]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.roundranking.com/,[57]
http://www.ki.se/,[56]
http://www.archive.org/,[118]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.lu.se/,[87]
http://www.mbl.is/,[113]
http://www.matarikinetwork.org/,[26]
http://www.arkitekturupproret.se/,[99]
http://www.journals.elsevier.com/,[86]
http://www.runeberg.org/,[125]
http://www.archive.today/,[105]
http://www.matarikinetwork.org/,[26]
http://www.ef.co.nz/,[126]
http://www.proton-therapy.org/,[15]
http://www.usnews.com/,[25]
http://www.svt.se/,[67]
http://www.dagensmedicin.se/,[70]
http://www.ci.nii.ac.jp/,[81]
http://www.kth.se/,[73]
http://www.web.archive.org/,[8]
http://www.uu.se/,[1]
http://www.edumaritime.net/,[89]
http://www.archive.org/,[118]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.ki.se/,[56]
http://www.creativecommons.org/,[51]
http://www.d-nb.info/,[40]
http://www.ftp.cordis.europa.eu/,[102]
http://www.youtube.com/,[27]
http://www.api.semanticscholar.org/,[68]
http://www.topuniversities.com/,[23]
http://www.trove.nla.gov.au/,[50]
http://www.lundagard.se/,[91]
http://www.commons.wikimedia.org/,[29]
http://www.ghostarchive.org/,[28]
http://www.en.wiktionary.org/,[3]
