Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.data.nlg.gr/,Main
http://www.leidenranking.com/,[22]
http://www.runeberg.org/,[125]
http://www.wikidata.org/,[33]
http://www.bbc.com/,[69]
http://www.idref.fr/,[49]
http://www.ep.liu.se/,[111]
http://www.ep.liu.se/,[111]
http://www.arkitekturupproret.se/,[99]
http://www.foundation.wikimedia.org/,[52]
http://www.geohack.toolforge.org/,[2]
http://www.e.kth.se/,[79]
http://www.lub.lu.se/,[98]
http://www.euroscholars.eu/,[101]
http://www.kth.se/,[73]
http://www.isa.org/,[123]
http://www.api.semanticscholar.org/,[68]
http://www.webometrics.info/,[11]
http://www.upsalafaktning.se/,[20]
http://www.paked.net/,[31]
http://www.ki.se/,[56]
http://www.sydsvenskan.se/,[128]
http://www.getty.edu/,[48]
http://www.authority.bibsys.no/,[37]
http://www.bbc.co.uk/,[71]
http://www.mbl.is/,[113]
http://www.musicbrainz.org/,[82]
http://www.books.google.com/,[75]
http://www.paked.net/,[31]
http://www.foundation.wikimedia.org/,[52]
http://www.creativecommons.org/,[51]
http://www.britannica.com/,[115]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.ki.se/,[56]
http://www.idref.fr/,[49]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
http://www.paked.net/,[31]
http://www.isa.org/,[123]
http://www.isa.org/,[123]
http://www.wikidata.org/,[33]
