Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.data.rero.ch/,Main
http://www.worldcat.org/,[36]
http://www.youtube.com/,[27]
http://www.data.bnf.fr/,[39]
http://www.tsl.uu.se/,[14]
http://www.matarikinetwork.org/,[26]
http://www.leidenranking.com/,[22]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.api.semanticscholar.org/,[68]
http://www.campusgotland.uu.se/,[7]
http://www.euroscholars.eu/,[101]
http://www.uu.se/,[1]
http://www.data.nlg.gr/,[45]
http://www.isni.org/,[34]
http://www.slu.se/,[84]
http://www.student.uu.se/,[30]
http://www.opac.vatlib.it/,[47]
http://www.d-nb.info/,[40]
http://www.wikidata.org/,[33]
http://www.unt.se/,[16]
http://www.webometrics.info/,[11]
http://www.journals.elsevier.com/,[86]
http://www.jur.uu.se/,[13]
http://www.svt.se/,[67]
http://www.geo.uu.se/,[5]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.rudbeck.uu.se/,[4]
http://www.nla.gov.au/,[44]
http://www.ki.se/,[56]
http://www.wolffund.org.il/,[121]
http://www.afbostader.se/,[107]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.worldcat.org/,[36]
http://www.doi.org/,[63]
http://www.asbmb.org.au/,[120]
http://www.api.semanticscholar.org/,[68]
http://www.foundation.wikimedia.org/,[52]
http://www.thestandard.com.hk/,[59]
http://www.youtube.com/,[27]
http://www.leidenranking.com/,[22]
http://www.getty.edu/,[48]
http://www.sydsvenskan.se/,[128]
http://www.campusgotland.uu.se/,[7]
http://www.ci.nii.ac.jp/,[81]
