Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.developer.wikimedia.org/,Main
http://www.kth.se/,[73]
http://www.jur.uu.se/,[13]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.campusgotland.uu.se/,[7]
http://www.en.wiktionary.org/,[3]
http://www.d-nb.info/,[40]
http://www.nytimes.com/,[61]
http://www.mediawiki.org/,[55]
http://www.runeberg.org/,[125]
http://www.authority.bibsys.no/,[37]
http://www.usnews.com/,[25]
http://www.cwur.org/,[21]
http://www.creativecommons.org/,[51]
http://www.ki.se/,[56]
http://www.catalogue.bnf.fr/,[38]
http://www.nytimes.com/,[61]
http://www.jstor.org/,[124]
http://www.viaf.org/,[35]
http://www.collections.tepapa.govt.nz/,[131]
http://www.getty.edu/,[48]
http://www.acton.org/,[109]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.bbc.co.uk/,[71]
http://www.ghostarchive.org/,[28]
http://www.ki.se/,[56]
http://www.idref.fr/,[49]
http://www.youtube.com/,[27]
http://www.kth.se/,[73]
http://www.journals.elsevier.com/,[86]
http://www.geohack.toolforge.org/,[2]
http://www.roundranking.com/,[57]
http://www.data.bnf.fr/,[39]
http://www.the-guild.eu/,[9]
http://www.slu.se/,[84]
http://www.id.loc.gov/,[42]
http://www.commons.wikimedia.org/,[29]
http://www.opac.vatlib.it/,[47]
http://www.aleph.nkp.cz/,[43]
http://www.youtube.com/,[27]
http://www.campusgotland.uu.se/,[7]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.tsl.uu.se/,[14]
http://www.uli.nli.org.il/,[41]
http://www.en.wiktionary.org/,[3]
http://www.mises.org/,[110]
http://www.svt.se/,[67]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.viaf.org/,[35]
http://www.foundation.wikimedia.org/,[52]
http://www.ec.europa.eu/,[103]
http://www.opac.vatlib.it/,[47]
http://www.ef.co.nz/,[126]
http://www.tekniskamuseet.se/,[74]
http://www.matarikinetwork.org/,[26]
http://www.ch.lu.se/,[96]
http://www.bbc.co.uk/,[71]
http://www.commons.wikimedia.org/,[29]
http://www.isni.org/,[34]
http://www.aleph.nkp.cz/,[43]
http://www.paked.net/,[31]
http://www.retractionwatch.com/,[62]
http://www.unt.se/,[16]
http://www.commons.wikimedia.org/,[29]
http://www.catalogue.bnf.fr/,[38]
http://www.idref.fr/,[49]
http://www.ghostarchive.org/,[28]
http://www.uu.se/,[1]
http://www.natgeotraveller.in/,[133]
http://www.timeshighereducation.com/,[24]
http://www.rudbeck.uu.se/,[4]
http://www.student.uu.se/,[30]
http://www.kth.se/,[73]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.tsl.uu.se/,[14]
http://www.ghostarchive.org/,[28]
http://www.nytimes.com/,[61]
http://www.kth.se/,[73]
http://www.isni.org/,[34]
http://www.uu.se/,[1]
http://www.slu.se/,[84]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.timeshighereducation.com/,[24]
http://www.geo.uu.se/,[5]
http://www.slu.se/,[84]
http://www.libris.kb.se/,[46]
http://www.luis.lu.se/,[104]
http://www.kth.se/,[73]
http://www.timeshighereducation.com/,[24]
http://www.ki.se/,[56]
