Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.director.co.uk/,Main
http://www.tekniskamuseet.se/,[74]
http://www.student.uu.se/,[30]
http://www.ki.se/,[56]
http://www.thestandard.com.hk/,[59]
http://www.kth.se/,[73]
http://www.ergo.nu/,[19]
http://www.bbc.co.uk/,[71]
http://www.developer.wikimedia.org/,[54]
http://www.ki.se/,[56]
http://www.uli.nli.org.il/,[41]
http://www.paked.net/,[31]
http://www.universityworldnews.com/,[58]
http://www.ki.se/,[56]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.leidenranking.com/,[22]
http://www.d-nb.info/,[40]
http://www.leidenranking.com/,[22]
http://www.slu.se/,[84]
http://www.ki.se/,[56]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.data.rero.ch/,[83]
http://www.natgeotraveller.in/,[133]
http://www.scb.se/,[93]
http://www.ghostarchive.org/,[28]
http://www.edumaritime.net/,[89]
http://www.mediawiki.org/,[55]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.timeshighereducation.com/,[24]
http://www.rudbeck.uu.se/,[4]
http://www.cantic.bnc.cat/,[130]
http://www.scb.se/,[93]
http://www.archive.today/,[105]
http://www.the-guild.eu/,[9]
http://www.kopkatalogs.lv/,[80]
http://www.data.bnf.fr/,[39]
http://www.wikidata.org/,[33]
http://www.viaf.org/,[35]
http://www.roundranking.com/,[57]
http://www.wolffund.org.il/,[121]
http://www.diva-portal.org/,[76]
http://www.geohack.toolforge.org/,[2]
http://www.archive.org/,[118]
http://www.collections.tepapa.govt.nz/,[131]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.libris.kb.se/,[46]
http://www.wikidata.org/,[33]
http://www.circ.ahajournals.org/,[119]
http://www.topuniversities.com/,[23]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.web.archive.org/,[8]
http://www.journals.elsevier.com/,[86]
http://www.retractionwatch.com/,[62]
http://www.uu.se/,[1]
http://www.natgeotraveller.in/,[133]
http://www.youtube.com/,[27]
http://www.ki.se/,[56]
http://www.getty.edu/,[48]
http://www.mediawiki.org/,[55]
http://www.lu.se/,[87]
http://www.internt.slu.se/,[85]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.blogs.sweden.se/,[94]
http://www.getty.edu/,[48]
http://www.scb.se/,[93]
http://www.libris.kb.se/,[46]
http://www.fsas.uu.se/,[12]
http://www.regeringen.se/,[106]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.linnaeus.c18.net/,[114]
http://www.kth.se/,[73]
http://www.campusgotland.uu.se/,[7]
http://www.data.nlg.gr/,[45]
http://www.youtube.com/,[27]
