Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.diva-portal.org/,Main
http://www.acton.org/,[109]
http://www.thestandard.com.hk/,[59]
http://www.unt.se/,[16]
http://www.mbl.is/,[113]
http://www.circare.org/,[64]
http://www.ci.nii.ac.jp/,[81]
http://www.cwur.org/,[21]
http://www.shanghairanking.com/,[10]
http://www.isni.org/,[34]
http://www.ki.se/,[56]
http://www.thestandard.com.hk/,[59]
http://www.commons.wikimedia.org/,[29]
http://www.geo.uu.se/,[5]
http://www.proton-therapy.org/,[15]
http://www.geo.uu.se/,[5]
http://www.genus.se/,[134]
http://www.authority.bibsys.no/,[37]
http://www.wikimediafoundation.org/,[53]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.developer.wikimedia.org/,[54]
http://www.svt.se/,[67]
http://www.matarikinetwork.org/,[26]
http://www.runeberg.org/,[125]
http://www.bbc.com/,[69]
http://www.paked.net/,[31]
http://www.roundranking.com/,[57]
http://www.tekniskamuseet.se/,[74]
http://www.geo.uu.se/,[5]
http://www.kth.se/,[73]
http://www.shanghairanking.com/,[10]
http://www.mbl.is/,[113]
http://www.mediawiki.org/,[55]
http://www.bbc.com/,[69]
