Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.doi.org/,Main
http://www.afbostader.se/,[107]
http://www.isni.org/,[34]
http://www.uu.se/,[1]
http://www.nla.gov.au/,[44]
http://www.catalogo.bne.es/,[72]
http://www.bbc.co.uk/,[71]
http://www.ghostarchive.org/,[28]
http://www.journals.elsevier.com/,[86]
http://www.ftp.cordis.europa.eu/,[102]
http://www.getty.edu/,[48]
http://www.uu.se/,[1]
http://www.wikidata.org/,[33]
http://www.retractionwatch.com/,[62]
http://www.topuniversities.com/,[23]
http://www.gu.se/,[132]
http://www.the-guild.eu/,[9]
http://www.d-nb.info/,[40]
http://www.ec.europa.eu/,[103]
http://www.catalogo.bne.es/,[72]
http://www.doi.org/,[63]
http://www.kth.se/,[73]
http://www.nla.gov.au/,[44]
http://www.tsl.uu.se/,[14]
http://www.opac.vatlib.it/,[47]
http://www.bbc.co.uk/,[71]
http://www.director.co.uk/,[127]
http://www.catalogue.bnf.fr/,[38]
http://www.wikidata.org/,[33]
http://www.id.loc.gov/,[42]
http://www.sydsvenskan.se/,[128]
http://www.sverigesradio.se/,[18]
http://www.wikimediafoundation.org/,[53]
http://www.ki.se/,[56]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.jur.uu.se/,[13]
http://www.unt.se/,[16]
http://www.leidenranking.com/,[22]
http://www.cwur.org/,[21]
http://www.timeshighereducation.com/,[24]
http://www.wikimediafoundation.org/,[53]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.uu.se/,[1]
http://www.jstor.org/,[124]
http://www.ki.se/,[56]
http://www.web.archive.org/,[8]
http://www.ghostarchive.org/,[28]
http://www.timeshighereducation.com/,[24]
http://www.getty.edu/,[48]
http://www.usnews.com/,[25]
http://www.biomus.lu.se/,[97]
http://www.topuniversities.com/,[23]
http://www.libris.kb.se/,[46]
http://www.en.wiktionary.org/,[3]
http://www.manniskohjalp.se/,[112]
http://www.fsas.uu.se/,[12]
http://www.diva-portal.org/,[76]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.e.kth.se/,[79]
http://www.dagensmedicin.se/,[70]
http://www.proton-therapy.org/,[15]
http://www.edumaritime.net/,[89]
http://www.data.nlg.gr/,[45]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.mediawiki.org/,[55]
http://www.mises.org/,[110]
http://www.tsl.uu.se/,[14]
http://www.runeberg.org/,[125]
http://www.wikidata.org/,[33]
http://www.youtube.com/,[27]
http://www.uu.se/,[1]
http://www.data.nlg.gr/,[45]
http://www.linnaeus.c18.net/,[114]
http://www.webometrics.info/,[11]
http://www.d-nb.info/,[40]
http://www.sverigesradio.se/,[18]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.unt.se/,[16]
http://www.genus.se/,[134]
http://www.paked.net/,[31]
http://www.commons.wikimedia.org/,[29]
http://www.cwur.org/,[21]
http://www.mbl.is/,[113]
http://www.geohack.toolforge.org/,[2]
http://www.data.bnf.fr/,[39]
http://www.kth.se/,[73]
http://www.trove.nla.gov.au/,[50]
http://www.uu.se/,[1]
http://www.topuniversities.com/,[23]
http://www.thelocal.se/,[17]
http://www.afbostader.se/,[107]
http://www.trove.nla.gov.au/,[50]
http://www.scmp.com/,[60]
http://www.webarchive.nationalarchives.gov.uk/,[122]
