Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.e.kth.se/,Main
http://www.api.semanticscholar.org/,[68]
http://www.student.uu.se/,[30]
http://www.libris.kb.se/,[46]
http://www.topuniversities.com/,[23]
http://www.regeringen.se/,[106]
http://www.kth.se/,[73]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.ef.co.nz/,[126]
http://www.collections.tepapa.govt.nz/,[131]
http://www.commons.wikimedia.org/,[29]
http://www.authority.bibsys.no/,[37]
http://www.ef.co.nz/,[126]
http://www.sfv.se/,[78]
http://www.dagensmedicin.se/,[70]
http://www.mediawiki.org/,[55]
http://www.sverigesradio.se/,[18]
http://www.genus.se/,[134]
http://www.uu.se/,[1]
http://www.api.semanticscholar.org/,[68]
http://www.uu.se/,[1]
http://www.med.lu.se/,[95]
http://www.eshet.net/,[108]
http://www.viaf.org/,[35]
http://www.afuu.org/,[32]
http://www.mediawiki.org/,[55]
http://www.ki.se/,[56]
http://www.internt.slu.se/,[85]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.sydsvenskan.se/,[128]
http://www.shanghairanking.com/,[10]
http://www.archive.org/,[118]
http://www.topuniversities.com/,[23]
http://www.roundranking.com/,[57]
http://www.ergo.nu/,[19]
http://www.shanghairanking.com/,[10]
http://www.data.bnf.fr/,[39]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.uli.nli.org.il/,[41]
http://www.dagensmedicin.se/,[70]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.paked.net/,[31]
http://www.matarikinetwork.org/,[26]
http://www.mediawiki.org/,[55]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.mediawiki.org/,[55]
http://www.fsas.uu.se/,[12]
http://www.scmp.com/,[60]
http://www.proton-therapy.org/,[15]
http://www.tsl.uu.se/,[14]
http://www.ki.se/,[56]
http://www.ergo.nu/,[19]
http://www.uli.nli.org.il/,[41]
http://www.foundation.wikimedia.org/,[52]
http://www.jur.uu.se/,[13]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.id.loc.gov/,[42]
http://www.getty.edu/,[48]
http://www.aleph.nkp.cz/,[43]
http://www.idref.fr/,[49]
http://www.ep.liu.se/,[111]
http://www.circare.org/,[64]
http://www.ki.se/,[56]
http://www.scb.se/,[93]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.shanghairanking.com/,[10]
http://www.upsalafaktning.se/,[20]
http://www.opac.vatlib.it/,[47]
http://www.wolffund.org.il/,[121]
http://www.youtube.com/,[27]
http://www.jur.uu.se/,[13]
http://www.angstrom.uu.se/,[6]
http://www.libris.kb.se/,[46]
http://www.collections.tepapa.govt.nz/,[131]
http://www.en.wiktionary.org/,[3]
http://www.opac.vatlib.it/,[47]
http://www.lu.se/,[87]
http://www.sfv.se/,[78]
http://www.idref.fr/,[49]
http://www.regeringen.se/,[106]
http://www.mediawiki.org/,[55]
http://www.tsl.uu.se/,[14]
http://www.trove.nla.gov.au/,[50]
http://www.tsl.uu.se/,[14]
http://www.web.archive.org/,[8]
http://www.proton-therapy.org/,[15]
http://www.ehl.lu.se/,[100]
http://www.developer.wikimedia.org/,[54]
