Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ec.europa.eu/,Main
http://www.webometrics.info/,[11]
http://www.data.bnf.fr/,[39]
http://www.aleph.nkp.cz/,[43]
http://www.uli.nli.org.il/,[41]
http://www.kth.se/,[73]
http://www.isni.org/,[34]
http://www.leidenranking.com/,[22]
http://www.jur.uu.se/,[13]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.eshet.net/,[108]
http://www.creativecommons.org/,[51]
http://www.doi.org/,[63]
http://www.runeberg.org/,[125]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.ergo.nu/,[19]
http://www.ergo.nu/,[19]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.ep.liu.se/,[111]
http://www.api.semanticscholar.org/,[68]
http://www.libris.kb.se/,[46]
http://www.campusgotland.uu.se/,[7]
http://www.libris.kb.se/,[46]
http://www.runeberg.org/,[125]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.natgeotraveller.in/,[133]
http://www.biomus.lu.se/,[97]
http://www.regeringen.se/,[106]
http://www.collections.tepapa.govt.nz/,[131]
http://www.shanghairanking.com/,[10]
