Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.edumaritime.net/,Main
http://www.sfv.se/,[78]
http://www.acton.org/,[109]
http://www.jur.uu.se/,[13]
http://www.student.uu.se/,[30]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.ki.se/,[56]
http://www.topuniversities.com/,[23]
http://www.afuu.org/,[32]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.journals.elsevier.com/,[86]
http://www.worldcat.org/,[36]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.angstrom.uu.se/,[6]
http://www.journals.elsevier.com/,[86]
http://www.sydsvenskan.se/,[128]
http://www.books.google.com/,[75]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.jur.uu.se/,[13]
http://www.blogs.sweden.se/,[94]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.idref.fr/,[49]
http://www.kth.se/,[73]
http://www.europeanspallationsource.se/,[90]
http://www.unt.se/,[16]
http://www.trove.nla.gov.au/,[50]
http://www.rudbeck.uu.se/,[4]
http://www.mbl.is/,[113]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.unt.se/,[16]
http://www.med.lu.se/,[95]
http://www.ki.se/,[56]
http://www.ch.lu.se/,[96]
http://www.uu.se/,[1]
http://www.scb.se/,[93]
http://www.webometrics.info/,[11]
http://www.kth.se/,[73]
http://www.mediawiki.org/,[55]
http://www.foundation.wikimedia.org/,[52]
