Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ef.co.nz/,Main
http://www.paked.net/,[31]
http://www.med.lu.se/,[95]
http://www.campusgotland.uu.se/,[7]
http://www.asbmb.org.au/,[120]
http://www.gu.se/,[132]
http://www.retractionwatch.com/,[62]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.angstrom.uu.se/,[6]
http://www.getty.edu/,[48]
http://www.data.rero.ch/,[83]
http://www.director.co.uk/,[127]
http://www.sverigesradio.se/,[18]
http://www.usnews.com/,[25]
http://www.lunduniversity.lu.se/,[88]
http://www.musicbrainz.org/,[82]
http://www.archive.org/,[118]
http://www.ec.europa.eu/,[103]
http://www.authority.bibsys.no/,[37]
http://www.web.archive.org/,[8]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.wikimediafoundation.org/,[53]
http://www.geo.uu.se/,[5]
http://www.isni.org/,[34]
http://www.data.bnf.fr/,[39]
http://www.mbl.is/,[113]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.thestandard.com.hk/,[59]
http://www.nytimes.com/,[61]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.creativecommons.org/,[51]
http://www.tsl.uu.se/,[14]
http://www.youtube.com/,[27]
http://www.linnaeus.c18.net/,[114]
http://www.lunduniversity.lu.se/,[88]
http://www.youtube.com/,[27]
http://www.d-nb.info/,[40]
http://www.ergo.nu/,[19]
http://www.uli.nli.org.il/,[41]
http://www.euroscholars.eu/,[101]
http://www.ki.se/,[56]
http://www.natgeotraveller.in/,[133]
http://www.isa.org/,[123]
http://www.data.bnf.fr/,[39]
http://www.internt.slu.se/,[85]
http://www.leidenranking.com/,[22]
http://www.angstrom.uu.se/,[6]
http://www.uu.se/,[1]
http://www.director.co.uk/,[127]
http://www.api.semanticscholar.org/,[68]
http://www.archive.today/,[105]
http://www.foundation.wikimedia.org/,[52]
http://www.student.uu.se/,[30]
http://www.ghostarchive.org/,[28]
http://www.uu.se/,[1]
http://www.ci.nii.ac.jp/,[81]
http://www.topuniversities.com/,[23]
