Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ehl.lu.se/,Main
http://www.ki.se/,[56]
http://www.developer.wikimedia.org/,[54]
http://www.idref.fr/,[49]
http://www.acton.org/,[109]
http://www.student.uu.se/,[30]
http://www.tsl.uu.se/,[14]
http://www.universityworldnews.com/,[58]
http://www.worldcat.org/,[36]
http://www.scb.se/,[93]
http://www.axelsons.com/,[116]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.ki.se/,[56]
http://www.matarikinetwork.org/,[26]
http://www.nytimes.com/,[61]
http://www.lub.lu.se/,[98]
http://www.ergo.nu/,[19]
http://www.proton-therapy.org/,[15]
