Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.en.wiktionary.org/,Main
http://www.thestandard.com.hk/,[59]
http://www.paked.net/,[31]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.authority.bibsys.no/,[37]
http://www.regeringen.se/,[106]
http://www.shanghairanking.com/,[10]
http://www.cantic.bnc.cat/,[130]
http://www.timeshighereducation.com/,[24]
http://www.mises.org/,[110]
http://www.e.kth.se/,[79]
http://www.jur.uu.se/,[13]
http://www.trove.nla.gov.au/,[50]
http://www.glamourmagazine.co.uk/,[129]
http://www.developer.wikimedia.org/,[54]
http://www.bbc.co.uk/,[71]
http://www.d-nb.info/,[40]
http://www.proton-therapy.org/,[15]
http://www.kth.se/,[73]
http://www.mediawiki.org/,[55]
http://www.developer.wikimedia.org/,[54]
http://www.proton-therapy.org/,[15]
http://www.idref.fr/,[49]
http://www.aleph.nkp.cz/,[43]
http://www.wolffund.org.il/,[121]
http://www.aleph.nkp.cz/,[43]
http://www.diva-portal.org/,[76]
http://www.glamourmagazine.co.uk/,[129]
http://www.id.loc.gov/,[42]
http://www.afuu.org/,[32]
http://www.ehl.lu.se/,[100]
http://www.mediawiki.org/,[55]
http://www.tsl.uu.se/,[14]
http://www.e.kth.se/,[79]
http://www.uli.nli.org.il/,[41]
http://www.geo.uu.se/,[5]
http://www.geohack.toolforge.org/,[2]
http://www.paked.net/,[31]
http://www.uu.se/,[1]
http://www.geo.uu.se/,[5]
http://www.aleph.nkp.cz/,[43]
http://www.afuu.org/,[32]
http://www.archive.today/,[105]
http://www.cwur.org/,[21]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.diva-portal.org/,[76]
http://www.ec.europa.eu/,[103]
http://www.tsl.uu.se/,[14]
http://www.jur.uu.se/,[13]
http://www.leidenranking.com/,[22]
http://www.data.nlg.gr/,[45]
http://www.catalogo.bne.es/,[72]
http://www.youtube.com/,[27]
http://www.books.google.com/,[75]
http://www.axelsons.com/,[116]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.timeshighereducation.com/,[24]
http://www.e.kth.se/,[79]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.kopkatalogs.lv/,[80]
http://www.linnaeus.c18.net/,[114]
http://www.sverigesradio.se/,[18]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.youtube.com/,[27]
http://www.trove.nla.gov.au/,[50]
http://www.d-nb.info/,[40]
http://www.ci.nii.ac.jp/,[81]
http://www.webometrics.info/,[11]
http://www.wolffund.org.il/,[121]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.idref.fr/,[49]
http://www.unt.se/,[16]
http://www.id.loc.gov/,[42]
http://www.bbc.com/,[69]
http://www.proton-therapy.org/,[15]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.data.nlg.gr/,[45]
http://www.svt.se/,[67]
http://www.acton.org/,[109]
http://www.sydsvenskan.se/,[128]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
