Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ergo.nu/,Main
http://www.wikidata.org/,[33]
http://www.blogs.sweden.se/,[94]
http://www.acton.org/,[109]
http://www.britannica.com/,[115]
http://www.eshet.net/,[108]
http://www.paked.net/,[31]
http://www.mbl.is/,[113]
http://www.europeanspallationsource.se/,[90]
http://www.bbc.com/,[69]
http://www.commons.wikimedia.org/,[29]
http://www.ftp.cordis.europa.eu/,[102]
http://www.viaf.org/,[35]
http://www.lu.se/,[87]
http://www.gu.se/,[132]
http://www.universityworldnews.com/,[58]
http://www.student.uu.se/,[30]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.kth.se/,[73]
http://www.blogs.sweden.se/,[94]
http://www.thelocal.se/,[17]
http://www.gu.se/,[132]
http://www.catalogo.bne.es/,[72]
http://www.worldcat.org/,[36]
http://www.tekniskamuseet.se/,[74]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.jur.uu.se/,[13]
http://www.trove.nla.gov.au/,[50]
http://www.cwur.org/,[21]
http://www.scmp.com/,[60]
http://www.blogs.sweden.se/,[94]
http://www.uu.se/,[1]
http://www.roundranking.com/,[57]
http://www.sfv.se/,[78]
http://www.wikidata.org/,[33]
http://www.ep.liu.se/,[111]
http://www.retractionwatch.com/,[62]
http://www.sverigesradio.se/,[18]
http://www.books.google.com/,[75]
http://www.linnaeus.c18.net/,[114]
http://www.idref.fr/,[49]
http://www.data.rero.ch/,[83]
http://www.eshet.net/,[108]
http://www.internt.slu.se/,[85]
http://www.uu.se/,[1]
http://www.worldcat.org/,[36]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.mediawiki.org/,[55]
http://www.campusgotland.uu.se/,[7]
http://www.natgeotraveller.in/,[133]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.wolffund.org.il/,[121]
http://www.creativecommons.org/,[51]
http://www.data.nlg.gr/,[45]
http://www.cantic.bnc.cat/,[130]
http://www.director.co.uk/,[127]
http://www.data.nlg.gr/,[45]
http://www.ki.se/,[56]
http://www.retractionwatch.com/,[62]
http://www.collections.tepapa.govt.nz/,[131]
http://www.d-nb.info/,[40]
http://www.fsas.uu.se/,[12]
http://www.isni.org/,[34]
http://www.idref.fr/,[49]
http://www.api.semanticscholar.org/,[68]
http://www.isa.org/,[123]
http://www.usnews.com/,[25]
http://www.lunduniversity.lu.se/,[88]
http://www.ch.lu.se/,[96]
http://www.mises.org/,[110]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.foundation.wikimedia.org/,[52]
http://www.tsl.uu.se/,[14]
http://www.data.bnf.fr/,[39]
http://www.angstrom.uu.se/,[6]
http://www.foundation.wikimedia.org/,[52]
http://www.libris.kb.se/,[46]
http://www.kth.se/,[73]
http://www.leidenranking.com/,[22]
http://www.matarikinetwork.org/,[26]
http://www.dagensmedicin.se/,[70]
http://www.bbc.com/,[69]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.d-nb.info/,[40]
http://www.isni.org/,[34]
http://www.lu.se/,[87]
http://www.authority.bibsys.no/,[37]
http://www.ki.se/,[56]
http://www.sverigesradio.se/,[18]
http://www.books.google.com/,[75]
http://www.circ.ahajournals.org/,[119]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.foundation.wikimedia.org/,[52]
http://www.geo.uu.se/,[5]
http://www.commons.wikimedia.org/,[29]
