Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.eshet.net/,Main
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.topuniversities.com/,[23]
http://www.wikimediafoundation.org/,[53]
http://www.dagensmedicin.se/,[70]
http://www.thelocal.se/,[17]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.mediawiki.org/,[55]
http://www.wikimediafoundation.org/,[53]
http://www.campusgotland.uu.se/,[7]
http://www.paked.net/,[31]
http://www.usnews.com/,[25]
http://www.leidenranking.com/,[22]
http://www.mediawiki.org/,[55]
http://www.ergo.nu/,[19]
http://www.nla.gov.au/,[44]
http://www.manniskohjalp.se/,[112]
http://www.dagensmedicin.se/,[70]
http://www.ergo.nu/,[19]
http://www.sydsvenskan.se/,[128]
http://www.proton-therapy.org/,[15]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.sfv.se/,[78]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.paked.net/,[31]
http://www.cantic.bnc.cat/,[130]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.regeringen.se/,[106]
http://www.d-nb.info/,[40]
http://www.glamourmagazine.co.uk/,[129]
http://www.isni.org/,[34]
http://www.rudbeck.uu.se/,[4]
http://www.worldcat.org/,[36]
http://www.youtube.com/,[27]
http://www.wikidata.org/,[33]
http://www.paked.net/,[31]
http://www.sfv.se/,[78]
http://www.usnews.com/,[25]
http://www.circare.org/,[64]
http://www.retractionwatch.com/,[62]
http://www.campusgotland.uu.se/,[7]
http://www.thelocal.se/,[17]
http://www.uu.se/,[1]
http://www.creativecommons.org/,[51]
http://www.uu.se/,[1]
http://www.universityworldnews.com/,[58]
http://www.data.rero.ch/,[83]
http://www.timeshighereducation.com/,[24]
http://www.web.archive.org/,[8]
http://www.authority.bibsys.no/,[37]
http://www.catalogo.bne.es/,[72]
http://www.journals.elsevier.com/,[86]
http://www.libris.kb.se/,[46]
http://www.ergo.nu/,[19]
http://www.geohack.toolforge.org/,[2]
http://www.gu.se/,[132]
http://www.uu.se/,[1]
http://www.timeshighereducation.com/,[24]
http://www.europeanspallationsource.se/,[90]
http://www.biomus.lu.se/,[97]
http://www.scb.se/,[93]
http://www.data.bnf.fr/,[39]
http://www.natgeotraveller.in/,[133]
http://www.wikimediafoundation.org/,[53]
http://www.mbl.is/,[113]
http://www.leidenranking.com/,[22]
http://www.ergo.nu/,[19]
http://www.shanghairanking.com/,[10]
http://www.data.rero.ch/,[83]
http://www.ftp.cordis.europa.eu/,[102]
http://www.lu.se/,[87]
http://www.mises.org/,[110]
http://www.foundation.wikimedia.org/,[52]
http://www.diva-portal.org/,[76]
http://www.kth.se/,[73]
http://www.proton-therapy.org/,[15]
http://www.opac.vatlib.it/,[47]
