Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.europeanspallationsource.se/,Main
http://www.aleph.nkp.cz/,[43]
http://www.jur.uu.se/,[13]
http://www.catalogue.bnf.fr/,[38]
http://www.eshet.net/,[108]
http://www.doi.org/,[63]
http://www.uu.se/,[1]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.commons.wikimedia.org/,[29]
http://www.ergo.nu/,[19]
http://www.ghostarchive.org/,[28]
http://www.ki.se/,[56]
http://www.paked.net/,[31]
http://www.ki.se/,[56]
http://www.wikidata.org/,[33]
http://www.uu.se/,[1]
http://www.afuu.org/,[32]
http://www.scmp.com/,[60]
http://www.webometrics.info/,[11]
http://www.afbostader.se/,[107]
http://www.catalogue.bnf.fr/,[38]
http://www.internt.slu.se/,[85]
http://www.sverigesradio.se/,[18]
http://www.ki.se/,[56]
http://www.uli.nli.org.il/,[41]
http://www.getty.edu/,[48]
http://www.kth.se/,[73]
http://www.d-nb.info/,[40]
http://www.circare.org/,[64]
http://www.geo.uu.se/,[5]
http://www.upsalafaktning.se/,[20]
http://www.timeshighereducation.com/,[24]
http://www.wikimediafoundation.org/,[53]
http://www.retractionwatch.com/,[62]
http://www.uu.se/,[1]
http://www.gu.se/,[132]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.leidenranking.com/,[22]
http://www.director.co.uk/,[127]
http://www.isni.org/,[34]
http://www.isni.org/,[34]
http://www.api.semanticscholar.org/,[68]
