Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.euroscholars.eu/,Main
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.ghostarchive.org/,[28]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
http://www.youtube.com/,[27]
http://www.developer.wikimedia.org/,[54]
http://www.webometrics.info/,[11]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.student.uu.se/,[30]
http://www.e.kth.se/,[79]
http://www.paked.net/,[31]
http://www.tekniskamuseet.se/,[74]
http://www.ghostarchive.org/,[28]
http://www.edumaritime.net/,[89]
http://www.ki.se/,[56]
http://www.trove.nla.gov.au/,[50]
http://www.fsas.uu.se/,[12]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.geo.uu.se/,[5]
http://www.developer.wikimedia.org/,[54]
http://www.angstrom.uu.se/,[6]
http://www.ep.liu.se/,[111]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.archive.today/,[105]
http://www.edumaritime.net/,[89]
http://www.geohack.toolforge.org/,[2]
http://www.data.nlg.gr/,[45]
http://www.universityworldnews.com/,[58]
http://www.geohack.toolforge.org/,[2]
http://www.nla.gov.au/,[44]
http://www.glamourmagazine.co.uk/,[129]
http://www.ki.se/,[56]
http://www.natgeotraveller.in/,[133]
http://www.sverigesradio.se/,[18]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.dagensmedicin.se/,[70]
http://www.usnews.com/,[25]
http://www.d-nb.info/,[40]
http://www.isni.org/,[34]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.tekniskamuseet.se/,[74]
http://www.arkitekturupproret.se/,[99]
http://www.regeringen.se/,[106]
http://www.ki.se/,[56]
http://www.scmp.com/,[60]
http://www.bbc.com/,[69]
http://www.e.kth.se/,[79]
http://www.viaf.org/,[35]
http://www.viaf.org/,[35]
http://www.opac.vatlib.it/,[47]
http://www.commons.wikimedia.org/,[29]
http://www.retractionwatch.com/,[62]
http://www.uu.se/,[1]
http://www.collections.tepapa.govt.nz/,[131]
http://www.tsl.uu.se/,[14]
http://www.d-nb.info/,[40]
http://www.axelsons.com/,[116]
http://www.ki.se/,[56]
