Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.foundation.wikimedia.org/,Main
http://www.ki.se/,[56]
http://www.aleph.nkp.cz/,[43]
http://www.ef.co.nz/,[126]
http://www.journals.elsevier.com/,[86]
http://www.e.kth.se/,[79]
http://www.kopkatalogs.lv/,[80]
http://www.kth.se/,[73]
http://www.ef.co.nz/,[126]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.mediawiki.org/,[55]
http://www.kth.se/,[73]
http://www.proton-therapy.org/,[15]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.rudbeck.uu.se/,[4]
http://www.uu.se/,[1]
http://www.afbostader.se/,[107]
http://www.getty.edu/,[48]
http://www.tekniskamuseet.se/,[74]
http://www.commons.wikimedia.org/,[29]
http://www.gu.se/,[132]
http://www.upsalafaktning.se/,[20]
http://www.libris.kb.se/,[46]
http://www.the-guild.eu/,[9]
http://www.kth.se/,[73]
http://www.foundation.wikimedia.org/,[52]
http://www.topuniversities.com/,[23]
http://www.ef.co.nz/,[126]
http://www.eshet.net/,[108]
http://www.ep.liu.se/,[111]
http://www.uu.se/,[1]
http://www.retractionwatch.com/,[62]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.d-nb.info/,[40]
http://www.uu.se/,[1]
http://www.archive.org/,[118]
http://www.acton.org/,[109]
http://www.wikimediafoundation.org/,[53]
http://www.ec.europa.eu/,[103]
http://www.en.wiktionary.org/,[3]
http://www.opac.vatlib.it/,[47]
http://www.diva-portal.org/,[76]
http://www.developer.wikimedia.org/,[54]
http://www.circare.org/,[64]
http://www.doi.org/,[63]
http://www.uu.se/,[1]
