Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.fsas.uu.se/,Main
http://www.diva-portal.org/,[76]
http://www.acton.org/,[109]
http://www.getty.edu/,[48]
http://www.catalogue.bnf.fr/,[38]
http://www.authority.bibsys.no/,[37]
http://www.kth.se/,[73]
http://www.catalogo.bne.es/,[72]
http://www.en.wiktionary.org/,[3]
http://www.circ.ahajournals.org/,[119]
http://www.viaf.org/,[35]
http://www.webometrics.info/,[11]
http://www.d-nb.info/,[40]
http://www.foundation.wikimedia.org/,[52]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.collections.tepapa.govt.nz/,[131]
http://www.diva-portal.org/,[76]
http://www.en.wiktionary.org/,[3]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.circare.org/,[64]
http://www.uu.se/,[1]
http://www.ghostarchive.org/,[28]
http://www.uu.se/,[1]
http://www.web.archive.org/,[8]
http://www.e.kth.se/,[79]
http://www.books.google.com/,[75]
http://www.ci.nii.ac.jp/,[81]
http://www.geo.uu.se/,[5]
http://www.commons.wikimedia.org/,[29]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.fsas.uu.se/,[12]
http://www.britannica.com/,[115]
http://www.fsas.uu.se/,[12]
http://www.regeringen.se/,[106]
http://www.authority.bibsys.no/,[37]
http://www.leidenranking.com/,[22]
http://www.uli.nli.org.il/,[41]
http://www.uu.se/,[1]
http://www.natgeotraveller.in/,[133]
http://www.uli.nli.org.il/,[41]
http://www.webometrics.info/,[11]
http://www.matarikinetwork.org/,[26]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.trove.nla.gov.au/,[50]
http://www.ci.nii.ac.jp/,[81]
http://www.svt.se/,[67]
http://www.opac.vatlib.it/,[47]
http://www.d-nb.info/,[40]
http://www.sydsvenskan.se/,[128]
http://www.the-guild.eu/,[9]
http://www.gu.se/,[132]
http://www.aop.se/,[77]
http://www.kth.se/,[73]
http://www.journals.elsevier.com/,[86]
http://www.upsalafaktning.se/,[20]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.genus.se/,[134]
http://www.isni.org/,[34]
http://www.biomus.lu.se/,[97]
http://www.creativecommons.org/,[51]
http://www.luis.lu.se/,[104]
http://www.catalogo.bne.es/,[72]
http://www.d-nb.info/,[40]
http://www.kth.se/,[73]
http://www.director.co.uk/,[127]
http://www.regeringen.se/,[106]
http://www.nytimes.com/,[61]
http://www.uu.se/,[1]
http://www.universityworldnews.com/,[58]
http://www.uu.se/,[1]
http://www.circ.ahajournals.org/,[119]
http://www.catalogue.bnf.fr/,[38]
http://www.timeshighereducation.com/,[24]
http://www.manniskohjalp.se/,[112]
http://www.uu.se/,[1]
http://www.mises.org/,[110]
http://www.kth.se/,[73]
http://www.ergo.nu/,[19]
http://www.getty.edu/,[48]
http://www.webometrics.info/,[11]
http://www.genus.se/,[134]
http://www.afuu.org/,[32]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.uu.se/,[1]
http://www.universityworldnews.com/,[58]
http://www.uu.se/,[1]
http://www.topuniversities.com/,[23]
http://www.ki.se/,[56]
