Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.genus.se/,Main
http://www.thestandard.com.hk/,[59]
http://www.uu.se/,[1]
http://www.doi.org/,[63]
http://www.wikidata.org/,[33]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.doi.org/,[63]
http://www.commons.wikimedia.org/,[29]
http://www.retractionwatch.com/,[62]
http://www.nytimes.com/,[61]
http://www.lu.se/,[87]
http://www.geo.uu.se/,[5]
http://www.arkitekturupproret.se/,[99]
http://www.doi.org/,[63]
http://www.doi.org/,[63]
http://www.universityworldnews.com/,[58]
http://www.afuu.org/,[32]
http://www.creativecommons.org/,[51]
http://www.asbmb.org.au/,[120]
http://www.aleph.nkp.cz/,[43]
http://www.euroscholars.eu/,[101]
http://www.angstrom.uu.se/,[6]
http://www.shanghairanking.com/,[10]
http://www.catalogue.bnf.fr/,[38]
http://www.eshet.net/,[108]
http://www.uu.se/,[1]
http://www.linnaeus.c18.net/,[114]
http://www.unt.se/,[16]
http://www.developer.wikimedia.org/,[54]
http://www.jur.uu.se/,[13]
