Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.geo.uu.se/,Main
http://www.leidenranking.com/,[22]
http://www.youtube.com/,[27]
http://www.collections.tepapa.govt.nz/,[131]
http://www.thelocal.se/,[17]
http://www.ghostarchive.org/,[28]
http://www.thelocal.se/,[17]
http://www.roundranking.com/,[57]
http://www.nla.gov.au/,[44]
http://www.kth.se/,[73]
http://www.collections.tepapa.govt.nz/,[131]
http://www.api.semanticscholar.org/,[68]
http://www.student.uu.se/,[30]
http://www.uu.se/,[1]
http://www.viaf.org/,[35]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.worldcat.org/,[36]
http://www.ch.lu.se/,[96]
http://www.foundation.wikimedia.org/,[52]
http://www.axelsons.com/,[116]
http://www.catalogue.bnf.fr/,[38]
http://www.uu.se/,[1]
http://www.creativecommons.org/,[51]
http://www.timeshighereducation.com/,[24]
http://www.uu.se/,[1]
http://www.sydsvenskan.se/,[128]
http://www.thestandard.com.hk/,[59]
http://www.trove.nla.gov.au/,[50]
http://www.uu.se/,[1]
http://www.aleph.nkp.cz/,[43]
http://www.archive.today/,[105]
http://www.foundation.wikimedia.org/,[52]
http://www.foundation.wikimedia.org/,[52]
http://www.kth.se/,[73]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.uu.se/,[1]
http://www.libris.kb.se/,[46]
http://www.lundagard.se/,[91]
http://www.opac.vatlib.it/,[47]
http://www.wikimediafoundation.org/,[53]
http://www.nytimes.com/,[61]
http://www.uu.se/,[1]
http://www.usnews.com/,[25]
http://www.trove.nla.gov.au/,[50]
http://www.fsas.uu.se/,[12]
http://www.creativecommons.org/,[51]
http://www.nla.gov.au/,[44]
http://www.matarikinetwork.org/,[26]
http://www.arkitekturupproret.se/,[99]
http://www.lu.se/,[87]
http://www.ki.se/,[56]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.en.wiktionary.org/,[3]
http://www.tsl.uu.se/,[14]
http://www.ci.nii.ac.jp/,[81]
http://www.jstor.org/,[124]
http://www.uu.se/,[1]
http://www.britannica.com/,[115]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
