Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.geohack.toolforge.org/,Main
http://www.aop.se/,[77]
http://www.books.google.com/,[75]
http://www.cwur.org/,[21]
http://www.axelsons.com/,[116]
http://www.sverigesradio.se/,[18]
http://www.trove.nla.gov.au/,[50]
http://www.libris.kb.se/,[46]
http://www.circare.org/,[64]
http://www.leidenranking.com/,[22]
http://www.ki.se/,[56]
http://www.nytimes.com/,[61]
http://www.tekniskamuseet.se/,[74]
http://www.kth.se/,[73]
http://www.leidenranking.com/,[22]
http://www.usnews.com/,[25]
http://www.collections.tepapa.govt.nz/,[131]
http://www.kopkatalogs.lv/,[80]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.scmp.com/,[60]
http://www.jur.uu.se/,[13]
http://www.kth.se/,[73]
http://www.thestandard.com.hk/,[59]
http://www.paked.net/,[31]
http://www.foundation.wikimedia.org/,[52]
http://www.upsalafaktning.se/,[20]
http://www.unt.se/,[16]
http://www.doi.org/,[63]
http://www.edumaritime.net/,[89]
http://www.kth.se/,[73]
http://www.ci.nii.ac.jp/,[81]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.isni.org/,[34]
http://www.isa.org/,[123]
http://www.thestandard.com.hk/,[59]
http://www.regeringen.se/,[106]
http://www.sverigesradio.se/,[18]
http://www.regeringen.se/,[106]
http://www.timeshighereducation.com/,[24]
http://www.axelsons.com/,[116]
http://www.roundranking.com/,[57]
http://www.uu.se/,[1]
http://www.data.rero.ch/,[83]
http://www.sfv.se/,[78]
http://www.leidenranking.com/,[22]
http://www.usnews.com/,[25]
http://www.ki.se/,[56]
http://www.upsalafaktning.se/,[20]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.kth.se/,[73]
http://www.authority.bibsys.no/,[37]
http://www.roundranking.com/,[57]
http://www.data.nlg.gr/,[45]
http://www.leidenranking.com/,[22]
http://www.api.semanticscholar.org/,[68]
http://www.angstrom.uu.se/,[6]
http://www.doi.org/,[63]
http://www.nla.gov.au/,[44]
http://www.uu.se/,[1]
http://www.wikimediafoundation.org/,[53]
http://www.ki.se/,[56]
http://www.creativecommons.org/,[51]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.usnews.com/,[25]
http://www.scb.se/,[93]
http://www.aleph.nkp.cz/,[43]
http://www.geohack.toolforge.org/,[2]
http://www.campusgotland.uu.se/,[7]
http://www.timeshighereducation.com/,[24]
http://www.jstor.org/,[124]
http://www.ch.lu.se/,[96]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.doi.org/,[63]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.topuniversities.com/,[23]
http://www.runeberg.org/,[125]
http://www.en.wiktionary.org/,[3]
http://www.uu.se/,[1]
http://www.web.archive.org/,[8]
