Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.getty.edu/,Main
http://www.blogs.sweden.se/,[94]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.archive.today/,[105]
http://www.tsl.uu.se/,[14]
http://www.roundranking.com/,[57]
http://www.campusgotland.uu.se/,[7]
http://www.ki.se/,[56]
http://www.youtube.com/,[27]
http://www.britannica.com/,[115]
http://www.youtube.com/,[27]
http://www.dagensmedicin.se/,[70]
http://www.libris.kb.se/,[46]
http://www.nla.gov.au/,[44]
http://www.fsas.uu.se/,[12]
http://www.sfv.se/,[78]
http://www.campusgotland.uu.se/,[7]
http://www.kth.se/,[73]
http://www.glamourmagazine.co.uk/,[129]
http://www.catalogo.bne.es/,[72]
http://www.ki.se/,[56]
http://www.afuu.org/,[32]
http://www.data.nlg.gr/,[45]
http://www.foundation.wikimedia.org/,[52]
http://www.foundation.wikimedia.org/,[52]
http://www.diva-portal.org/,[76]
http://www.en.wiktionary.org/,[3]
http://www.webometrics.info/,[11]
http://www.kth.se/,[73]
http://www.thestandard.com.hk/,[59]
http://www.aop.se/,[77]
http://www.cantic.bnc.cat/,[130]
http://www.lundagard.se/,[91]
http://www.timeshighereducation.com/,[24]
http://www.universityworldnews.com/,[58]
http://www.web.archive.org/,[8]
http://www.sydsvenskan.se/,[128]
http://www.ghostarchive.org/,[28]
http://www.uu.se/,[1]
http://www.retractionwatch.com/,[62]
http://www.foundation.wikimedia.org/,[52]
http://www.tsl.uu.se/,[14]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
http://www.uli.nli.org.il/,[41]
http://www.med.lu.se/,[95]
http://www.linnaeus.c18.net/,[114]
http://www.ec.europa.eu/,[103]
http://www.ftp.cordis.europa.eu/,[102]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.data.nlg.gr/,[45]
http://www.getty.edu/,[48]
http://www.nla.gov.au/,[44]
http://www.fsas.uu.se/,[12]
http://www.uu.se/,[1]
http://www.jur.uu.se/,[13]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.creativecommons.org/,[51]
http://www.ghostarchive.org/,[28]
http://www.libris.kb.se/,[46]
http://www.developer.wikimedia.org/,[54]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.circare.org/,[64]
http://www.lundagard.se/,[91]
http://www.nytimes.com/,[61]
http://www.idref.fr/,[49]
http://www.bbc.com/,[69]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.tsl.uu.se/,[14]
http://www.creativecommons.org/,[51]
http://www.timeshighereducation.com/,[24]
http://www.uli.nli.org.il/,[41]
http://www.wolffund.org.il/,[121]
http://www.catalogue.bnf.fr/,[38]
http://www.thelocal.se/,[17]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.api.semanticscholar.org/,[68]
http://www.edumaritime.net/,[89]
http://www.wikimediafoundation.org/,[53]
http://www.web.archive.org/,[8]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.mises.org/,[110]
http://www.catalogue.bnf.fr/,[38]
http://www.aleph.nkp.cz/,[43]
http://www.data.rero.ch/,[83]
