Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ghostarchive.org/,Main
http://www.journals.elsevier.com/,[86]
http://www.acton.org/,[109]
http://www.rudbeck.uu.se/,[4]
http://www.aop.se/,[77]
http://www.uu.se/,[1]
http://www.gu.se/,[132]
http://www.sverigesradio.se/,[18]
http://www.worldcat.org/,[36]
http://www.scb.se/,[93]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.id.loc.gov/,[42]
http://www.the-guild.eu/,[9]
http://www.glamourmagazine.co.uk/,[129]
http://www.leidenranking.com/,[22]
http://www.topuniversities.com/,[23]
http://www.shanghairanking.com/,[10]
http://www.fsas.uu.se/,[12]
http://www.runeberg.org/,[125]
http://www.angstrom.uu.se/,[6]
http://www.data.nlg.gr/,[45]
http://www.matarikinetwork.org/,[26]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.rudbeck.uu.se/,[4]
http://www.lu.se/,[87]
http://www.biomus.lu.se/,[97]
http://www.aleph.nkp.cz/,[43]
http://www.ci.nii.ac.jp/,[81]
http://www.musicbrainz.org/,[82]
http://www.uu.se/,[1]
http://www.europeanspallationsource.se/,[90]
http://www.e.kth.se/,[79]
http://www.ehl.lu.se/,[100]
http://www.gu.se/,[132]
http://www.data.bnf.fr/,[39]
http://www.lub.lu.se/,[98]
http://www.data.nlg.gr/,[45]
http://www.bbc.com/,[69]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.jur.uu.se/,[13]
http://www.dagensmedicin.se/,[70]
http://www.uu.se/,[1]
http://www.jur.uu.se/,[13]
http://www.thestandard.com.hk/,[59]
http://www.wikidata.org/,[33]
http://www.regeringen.se/,[106]
http://www.books.google.com/,[75]
http://www.kth.se/,[73]
http://www.topuniversities.com/,[23]
http://www.kth.se/,[73]
http://www.catalogue.bnf.fr/,[38]
http://www.youtube.com/,[27]
http://www.kth.se/,[73]
http://www.ch.lu.se/,[96]
http://www.timeshighereducation.com/,[24]
http://www.trove.nla.gov.au/,[50]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.opac.vatlib.it/,[47]
http://www.thestandard.com.hk/,[59]
http://www.roundranking.com/,[57]
http://www.circare.org/,[64]
http://www.rudbeck.uu.se/,[4]
http://www.campusgotland.uu.se/,[7]
http://www.ki.se/,[56]
http://www.idref.fr/,[49]
http://www.ch.lu.se/,[96]
http://www.paked.net/,[31]
http://www.uu.se/,[1]
http://www.doi.org/,[63]
http://www.ch.lu.se/,[96]
http://www.wikidata.org/,[33]
http://www.ki.se/,[56]
http://www.linnaeus.c18.net/,[114]
http://www.ki.se/,[56]
http://www.glamourmagazine.co.uk/,[129]
http://www.ec.europa.eu/,[103]
http://www.wolffund.org.il/,[121]
http://www.angstrom.uu.se/,[6]
http://www.kth.se/,[73]
