Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.glamourmagazine.co.uk/,Main
http://www.svt.se/,[67]
http://www.arkitekturupproret.se/,[99]
http://www.jstor.org/,[124]
http://www.youtube.com/,[27]
http://www.afbostader.se/,[107]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.data.rero.ch/,[83]
http://www.uu.se/,[1]
http://www.id.loc.gov/,[42]
http://www.jur.uu.se/,[13]
http://www.opac.vatlib.it/,[47]
http://www.web.archive.org/,[8]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.web.archive.org/,[8]
