Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.gu.se/,Main
http://www.doi.org/,[63]
http://www.arkitekturupproret.se/,[99]
http://www.thelocal.se/,[17]
http://www.britannica.com/,[115]
http://www.uli.nli.org.il/,[41]
http://www.geo.uu.se/,[5]
http://www.wikidata.org/,[33]
http://www.youtube.com/,[27]
http://www.aleph.nkp.cz/,[43]
http://www.usnews.com/,[25]
http://www.shanghairanking.com/,[10]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.kopkatalogs.lv/,[80]
http://www.circare.org/,[64]
http://www.upsalafaktning.se/,[20]
