Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.id.loc.gov/,Main
http://www.campusgotland.uu.se/,[7]
http://www.manniskohjalp.se/,[112]
http://www.bbc.co.uk/,[71]
http://www.ch.lu.se/,[96]
http://www.doi.org/,[63]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.tsl.uu.se/,[14]
http://www.topuniversities.com/,[23]
http://www.youtube.com/,[27]
http://www.uu.se/,[1]
http://www.axelsons.com/,[116]
http://www.archive.today/,[105]
http://www.books.google.com/,[75]
http://www.uu.se/,[1]
http://www.mises.org/,[110]
http://www.lub.lu.se/,[98]
http://www.cantic.bnc.cat/,[130]
http://www.usnews.com/,[25]
http://www.opac.vatlib.it/,[47]
http://www.bbc.co.uk/,[71]
http://www.foundation.wikimedia.org/,[52]
http://www.tsl.uu.se/,[14]
http://www.universityworldnews.com/,[58]
http://www.opac.vatlib.it/,[47]
http://www.nla.gov.au/,[44]
http://www.roundranking.com/,[57]
http://www.worldcat.org/,[36]
http://www.web.archive.org/,[8]
http://www.uu.se/,[1]
http://www.proton-therapy.org/,[15]
http://www.catalogo.bne.es/,[72]
http://www.d-nb.info/,[40]
http://www.developer.wikimedia.org/,[54]
http://www.youtube.com/,[27]
http://www.afbostader.se/,[107]
http://www.afuu.org/,[32]
http://www.ergo.nu/,[19]
http://www.uu.se/,[1]
http://www.retractionwatch.com/,[62]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.creativecommons.org/,[51]
http://www.circare.org/,[64]
http://www.getty.edu/,[48]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.tekniskamuseet.se/,[74]
http://www.regeringen.se/,[106]
http://www.circare.org/,[64]
http://www.kth.se/,[73]
http://www.afuu.org/,[32]
http://www.kth.se/,[73]
http://www.ec.europa.eu/,[103]
http://www.wolffund.org.il/,[121]
http://www.uu.se/,[1]
http://www.ef.co.nz/,[126]
http://www.geohack.toolforge.org/,[2]
http://www.developer.wikimedia.org/,[54]
http://www.isni.org/,[34]
http://www.biomus.lu.se/,[97]
http://www.upsalafaktning.se/,[20]
http://www.catalogo.bne.es/,[72]
http://www.opac.vatlib.it/,[47]
http://www.retractionwatch.com/,[62]
http://www.ghostarchive.org/,[28]
http://www.unt.se/,[16]
http://www.ftp.cordis.europa.eu/,[102]
http://www.tekniskamuseet.se/,[74]
http://www.genus.se/,[134]
http://www.ki.se/,[56]
http://www.authority.bibsys.no/,[37]
http://www.circ.ahajournals.org/,[119]
http://www.mbl.is/,[113]
http://www.roundranking.com/,[57]
http://www.worldcat.org/,[36]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.ki.se/,[56]
http://www.geohack.toolforge.org/,[2]
http://www.developer.wikimedia.org/,[54]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.ki.se/,[56]
http://www.collections.tepapa.govt.nz/,[131]
http://www.sverigesradio.se/,[18]
http://www.isa.org/,[123]
http://www.catalogo.bne.es/,[72]
http://www.e.kth.se/,[79]
