Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.idref.fr/,Main
http://www.geohack.toolforge.org/,[2]
http://www.leidenranking.com/,[22]
http://www.trove.nla.gov.au/,[50]
http://www.uli.nli.org.il/,[41]
http://www.sfv.se/,[78]
http://www.commons.wikimedia.org/,[29]
http://www.universityworldnews.com/,[58]
http://www.jstor.org/,[124]
http://www.geohack.toolforge.org/,[2]
http://www.collections.tepapa.govt.nz/,[131]
http://www.shanghairanking.com/,[10]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.thelocal.se/,[17]
http://www.data.nlg.gr/,[45]
http://www.runeberg.org/,[125]
http://www.thelocal.se/,[17]
http://www.d-nb.info/,[40]
http://www.ep.liu.se/,[111]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.asbmb.org.au/,[120]
http://www.wikimediafoundation.org/,[53]
http://www.youtube.com/,[27]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.wikimediafoundation.org/,[53]
http://www.id.loc.gov/,[42]
