Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.internt.slu.se/,Main
http://www.getty.edu/,[48]
http://www.acton.org/,[109]
http://www.libris.kb.se/,[46]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.getty.edu/,[48]
http://www.catalogue.bnf.fr/,[38]
http://www.universityworldnews.com/,[58]
http://www.viaf.org/,[35]
http://www.thelocal.se/,[17]
http://www.scmp.com/,[60]
http://www.proton-therapy.org/,[15]
http://www.en.wiktionary.org/,[3]
http://www.med.lu.se/,[95]
http://www.matarikinetwork.org/,[26]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.bbc.com/,[69]
http://www.web.archive.org/,[8]
http://www.euroscholars.eu/,[101]
http://www.usnews.com/,[25]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.cwur.org/,[21]
http://www.geohack.toolforge.org/,[2]
http://www.creativecommons.org/,[51]
http://www.idref.fr/,[49]
http://www.arkitekturupproret.se/,[99]
http://www.the-guild.eu/,[9]
http://www.kth.se/,[73]
http://www.viaf.org/,[35]
http://www.kth.se/,[73]
http://www.topuniversities.com/,[23]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.ki.se/,[56]
http://www.e.kth.se/,[79]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.geohack.toolforge.org/,[2]
