Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.isa.org/,Main
http://www.retractionwatch.com/,[62]
http://www.wolffund.org.il/,[121]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.europeanspallationsource.se/,[90]
http://www.europeanspallationsource.se/,[90]
http://www.usnews.com/,[25]
http://www.blogs.sweden.se/,[94]
http://www.ci.nii.ac.jp/,[81]
http://www.nla.gov.au/,[44]
http://www.fsas.uu.se/,[12]
http://www.the-guild.eu/,[9]
http://www.jur.uu.se/,[13]
http://www.student.uu.se/,[30]
http://www.youtube.com/,[27]
http://www.d-nb.info/,[40]
http://www.catalogue.bnf.fr/,[38]
http://www.creativecommons.org/,[51]
http://www.sydsvenskan.se/,[128]
http://www.tekniskamuseet.se/,[74]
http://www.ki.se/,[56]
http://www.getty.edu/,[48]
http://www.web.archive.org/,[8]
http://www.proton-therapy.org/,[15]
http://www.student.uu.se/,[30]
http://www.genus.se/,[134]
http://www.fsas.uu.se/,[12]
http://www.bbc.co.uk/,[71]
http://www.ki.se/,[56]
http://www.developer.wikimedia.org/,[54]
http://www.rudbeck.uu.se/,[4]
http://www.ki.se/,[56]
