Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.isni.org/,Main
http://www.ergo.nu/,[19]
http://www.ki.se/,[56]
http://www.viaf.org/,[35]
http://www.natgeotraveller.in/,[133]
http://www.biomus.lu.se/,[97]
http://www.ehl.lu.se/,[100]
http://www.lub.lu.se/,[98]
http://www.kopkatalogs.lv/,[80]
http://www.nytimes.com/,[61]
http://www.catalogue.bnf.fr/,[38]
http://www.sverigesradio.se/,[18]
http://www.nytimes.com/,[61]
http://www.kth.se/,[73]
http://www.idref.fr/,[49]
http://www.uu.se/,[1]
http://www.roundranking.com/,[57]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.shanghairanking.com/,[10]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.tsl.uu.se/,[14]
http://www.upsalafaktning.se/,[20]
http://www.geohack.toolforge.org/,[2]
http://www.angstrom.uu.se/,[6]
http://www.diva-portal.org/,[76]
http://www.data.bnf.fr/,[39]
http://www.data.bnf.fr/,[39]
http://www.developer.wikimedia.org/,[54]
http://www.catalogo.bne.es/,[72]
http://www.uu.se/,[1]
http://www.catalogo.bne.es/,[72]
http://www.youtube.com/,[27]
http://www.manniskohjalp.se/,[112]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.id.loc.gov/,[42]
http://www.asbmb.org.au/,[120]
http://www.internt.slu.se/,[85]
http://www.data.bnf.fr/,[39]
http://www.getty.edu/,[48]
http://www.student.uu.se/,[30]
http://www.uu.se/,[1]
http://www.lu.se/,[87]
http://www.retractionwatch.com/,[62]
http://www.webometrics.info/,[11]
http://www.genus.se/,[134]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.circare.org/,[64]
http://www.foundation.wikimedia.org/,[52]
http://www.afuu.org/,[32]
http://www.trove.nla.gov.au/,[50]
http://www.catalogue.bnf.fr/,[38]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.ki.se/,[56]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.cwur.org/,[21]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.worldcat.org/,[36]
http://www.authority.bibsys.no/,[37]
http://www.slu.se/,[84]
http://www.ki.se/,[56]
http://www.dagensmedicin.se/,[70]
http://www.musicbrainz.org/,[82]
http://www.nla.gov.au/,[44]
http://www.getty.edu/,[48]
http://www.web.archive.org/,[8]
http://www.scb.se/,[93]
http://www.nla.gov.au/,[44]
http://www.thestandard.com.hk/,[59]
http://www.fsas.uu.se/,[12]
http://www.archive.org/,[118]
http://www.ki.se/,[56]
http://www.ghostarchive.org/,[28]
http://www.kopkatalogs.lv/,[80]
http://www.libris.kb.se/,[46]
http://www.afuu.org/,[32]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.genus.se/,[134]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.isa.org/,[123]
http://www.tekniskamuseet.se/,[74]
http://www.sydsvenskan.se/,[128]
http://www.lu.se/,[87]
http://www.developer.wikimedia.org/,[54]
http://www.doi.org/,[63]
http://www.data.nlg.gr/,[45]
http://www.scmp.com/,[60]
http://www.d-nb.info/,[40]
http://www.scb.se/,[93]
http://www.kth.se/,[73]
http://www.tekniskamuseet.se/,[74]
http://www.api.semanticscholar.org/,[68]
