Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.journals.elsevier.com/,Main
http://www.student.uu.se/,[30]
http://www.idref.fr/,[49]
http://www.data.rero.ch/,[83]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
http://www.wikidata.org/,[33]
http://www.mediawiki.org/,[55]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.genus.se/,[134]
http://www.webometrics.info/,[11]
http://www.worldcat.org/,[36]
http://www.retractionwatch.com/,[62]
http://www.tsl.uu.se/,[14]
http://www.lub.lu.se/,[98]
http://www.uu.se/,[1]
http://www.genus.se/,[134]
http://www.europeanspallationsource.se/,[90]
http://www.jur.uu.se/,[13]
http://www.circ.ahajournals.org/,[119]
http://www.ef.co.nz/,[126]
http://www.britannica.com/,[115]
http://www.proton-therapy.org/,[15]
http://www.matarikinetwork.org/,[26]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.circ.ahajournals.org/,[119]
http://www.dagensmedicin.se/,[70]
http://www.eshet.net/,[108]
http://www.ec.europa.eu/,[103]
http://www.trove.nla.gov.au/,[50]
http://www.student.uu.se/,[30]
http://www.angstrom.uu.se/,[6]
http://www.scb.se/,[93]
http://www.data.rero.ch/,[83]
http://www.creativecommons.org/,[51]
